Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,1,140.00,35560.00,254.00,254.00,254.00
2010-04-20,1,40.00,9960.00,249.00,249.00,249.00
2010-04-21,3,330.00,79210.00,245.00,237.00,237.00
2010-04-22,1,20.00,4660.00,233.00,233.00,233.00
2010-04-26,1,100.00,22900.00,229.00,229.00,229.00
2010-04-29,4,800.00,175020.00,225.00,215.00,215.00
2010-04-15,1,50.00,12950.00,259.00,259.00,259.00
2010-05-10,1,180.00,38700.00,215.00,215.00,215.00
2010-05-11,5,550.00,115560.00,214.00,207.00,207.00
2010-05-13,4,1200.00,261400.00,220.00,215.00,220.00
2010-05-19,2,470.00,106360.00,228.00,224.00,228.00
2010-05-20,1,20.00,4640.00,232.00,232.00,232.00
2010-05-23,5,160.00,38680.00,252.00,236.00,252.00
2010-05-24,1,20.00,5140.00,257.00,257.00,257.00
2010-05-25,4,1220.00,330440.00,277.00,262.00,277.00
2010-05-26,4,1380.00,393760.00,286.00,282.00,285.00
2010-05-30,1,20.00,5800.00,290.00,290.00,290.00
2010-06-01,2,40.00,11900.00,300.00,295.00,300.00
2010-06-02,4,240.00,71720.00,306.00,298.00,306.00
2010-06-09,1,100.00,30000.00,300.00,300.00,300.00
2010-06-10,1,100.00,29400.00,294.00,294.00,294.00
2010-06-30,1,50.00,14450.00,289.00,289.00,289.00
2010-07-05,2,90.00,25560.00,284.00,284.00,284.00
2010-07-08,2,120.00,32980.00,279.00,274.00,274.00
2010-07-21,3,60.00,17040.00,289.00,279.00,289.00
2010-07-28,1,100.00,28400.00,284.00,284.00,284.00
2010-07-29,1,400.00,113600.00,284.00,284.00,284.00
2010-08-10,4,240.00,65950.00,279.00,273.00,273.00
2010-08-11,3,60.00,16980.00,288.00,278.00,288.00
2010-08-12,1,30.00,8640.00,288.00,288.00,288.00
2010-08-15,1,180.00,50940.00,283.00,283.00,283.00
2010-09-26,2,474.00,134142.00,283.00,283.00,283.00
2010-09-27,4,606.00,166116.00,278.00,270.00,270.00
2010-09-28,2,115.00,30375.00,265.00,264.00,264.00
2010-10-03,11,12500.00,3065740.00,259.00,238.00,238.00
2010-10-05,1,100.00,23400.00,234.00,234.00,234.00
2010-10-11,4,1295.00,295370.00,230.00,222.00,222.00
2010-10-12,1,200.00,43600.00,218.00,218.00,218.00
2010-10-13,1,300.00,65400.00,218.00,218.00,218.00
2010-10-27,2,40.00,8960.00,226.00,222.00,226.00
2010-10-28,2,40.00,9280.00,234.00,230.00,234.00
2010-11-09,1,180.00,42840.00,238.00,238.00,238.00
2010-11-10,1,100.00,24200.00,242.00,242.00,242.00
2010-11-11,1,90.00,21780.00,242.00,242.00,242.00
2010-11-18,1,90.00,21780.00,242.00,242.00,242.00
2010-11-21,1,60.00,14760.00,246.00,246.00,246.00
2010-12-20,1,100.00,24200.00,242.00,242.00,242.00
2011-01-24,2,90.00,21660.00,242.00,238.00,238.00
2011-02-02,1,60.00,14340.00,239.00,239.00,239.00
2011-03-15,1,60.00,14340.00,239.00,239.00,239.00
2011-05-25,3,1404.00,329940.00,235.00,235.00,235.00
2011-06-06,1,20.00,4620.00,231.00,231.00,231.00
2011-06-08,4,90.00,19870.00,227.00,215.00,215.00
2011-09-06,1,20.00,4300.00,215.00,215.00,215.00
2010-04-15,1,50.00,12950.00,259.00,259.00,259.00
2010-04-15,1,50.00,12950.00,259.00,259.00,259.00
2011-12-05,1,20.00,4260.00,213.00,213.00,213.00
2011-12-19,2,90.00,18490.00,209.00,205.00,205.00
2012-01-31,6,300.00,59050.00,201.00,191.00,191.00
2012-02-07,6,200.00,35500.00,188.00,173.00,173.00
2012-02-08,1,3120.00,530400.00,170.00,170.00,170.00
2012-02-23,1,10.00,1670.00,167.00,167.00,167.00
2012-03-19,2,40.00,5920.00,149.00,147.00,147.00
2012-03-20,1,20.00,2900.00,145.00,145.00,145.00
2012-03-28,2,2000.00,282020.00,143.00,141.00,141.00
2012-03-29,5,1520.00,205944.00,139.00,131.00,131.00
2012-04-03,2,40.00,5120.00,129.00,127.00,127.00
2012-04-04,6,120.00,14400.00,125.00,115.00,115.00
2012-04-05,6,210.00,22670.00,113.00,104.00,104.00
2012-04-08,14,1063.00,104624.00,102.00,97.00,97.00
2012-04-09,1,60.00,5880.00,98.00,98.00,98.00
2012-04-10,4,1976.00,195356.00,102.00,98.00,102.00
2012-04-11,4,1200.00,118600.00,102.00,98.00,98.00
2012-04-15,7,180.00,18690.00,106.00,99.00,106.00
2012-04-17,3,130.00,14040.00,108.00,108.00,108.00
2012-04-19,2,140.00,15420.00,112.00,110.00,112.00
2012-04-22,3,100.00,11600.00,118.00,114.00,118.00
2012-04-26,2,212.00,25824.00,122.00,120.00,122.00
2012-04-29,3,740.00,91760.00,126.00,122.00,126.00
2012-04-30,2,355.00,45440.00,128.00,128.00,128.00
2012-05-08,1,182.00,23296.00,128.00,128.00,128.00
2012-05-17,1,20.00,2600.00,130.00,130.00,130.00
2012-05-24,2,282.00,35676.00,128.00,126.00,126.00
2012-07-02,2,100.00,12560.00,126.00,124.00,124.00
2012-11-07,1,26.00,3172.00,122.00,122.00,122.00
2012-11-20,4,310.00,36300.00,120.00,114.00,114.00
2012-11-28,4,462.00,50910.00,112.00,108.00,108.00
2012-11-29,2,502.00,53252.00,107.00,106.00,107.00
2013-01-28,2,256.00,26680.00,105.00,103.00,103.00
2013-02-20,4,9172.00,910480.00,101.00,99.00,100.00
2013-04-11,1,50.00,5000.00,100.00,100.00,100.00
2013-05-07,1,60.00,5880.00,98.00,98.00,98.00
2013-06-18,2,20.00,1930.00,97.00,96.00,96.00
2013-07-01,4,132.00,12316.00,95.00,92.00,92.00
2013-07-17,1,60.00,5460.00,91.00,91.00,91.00
2013-08-01,1,50.00,4600.00,92.00,92.00,92.00
2013-08-07,1,202.00,18786.00,93.00,93.00,93.00
2013-08-14,1,30.00,2820.00,94.00,94.00,94.00
2013-09-09,3,60.00,5760.00,97.00,95.00,97.00
2013-09-10,4,86.00,8514.00,100.00,98.00,100.00
2013-09-11,4,140.00,14360.00,106.00,100.00,106.00
2013-09-12,1,20.00,2160.00,108.00,108.00,108.00
2013-09-15,1,100.00,10700.00,107.00,107.00,107.00
2013-09-16,2,190.00,20530.00,109.00,107.00,107.00
2013-09-17,2,40.00,4400.00,111.00,109.00,111.00
2013-10-27,1,20.00,2260.00,113.00,113.00,113.00
2013-10-30,1,20.00,2220.00,111.00,111.00,111.00
2013-12-03,9,1984.00,228484.00,121.00,111.00,121.00
2013-12-04,4,471.00,58053.00,127.00,123.00,127.00
2013-12-05,3,3000.00,384000.00,129.00,127.00,129.00
2013-12-08,2,2500.00,316500.00,127.00,125.00,125.00
2013-12-10,2,312.00,38016.00,123.00,121.00,121.00
2014-01-05,1,500.00,59500.00,119.00,119.00,119.00
2014-01-09,1,52.00,6084.00,117.00,117.00,117.00
2014-01-16,1,240.00,27120.00,113.00,113.00,113.00
2014-01-14,1,100.00,11500.00,115.00,115.00,115.00
2014-01-20,1,602.00,66822.00,111.00,111.00,111.00
2014-01-23,2,12227.00,1369144.00,112.00,110.00,112.00
2014-02-02,5,1800.00,205300.00,117.00,112.00,117.00
2014-02-04,1,150.00,17850.00,119.00,119.00,119.00
2014-02-05,6,90.00,11240.00,130.00,121.00,130.00
2014-02-06,9,1110.00,158280.00,143.00,132.00,143.00
2014-02-09,9,6395.00,933033.00,157.00,145.00,157.00
2014-02-10,9,940.00,158740.00,172.00,160.00,170.00
2014-02-11,11,864.00,156728.00,187.00,173.00,187.00
2014-02-12,6,200.00,38900.00,202.00,190.00,202.00
2014-02-13,1,100.00,19800.00,198.00,198.00,198.00
2014-02-16,1,40.00,7800.00,195.00,195.00,195.00
2014-02-17,3,80.00,15240.00,192.00,189.00,189.00
2014-02-18,3,100.00,18660.00,189.00,186.00,186.00
2014-02-20,1,20.00,3780.00,189.00,189.00,189.00
2014-02-25,8,671.00,121305.00,185.00,176.00,176.00
2014-02-26,4,1460.00,247720.00,173.00,167.00,167.00
2014-03-03,5,3681.00,591141.00,164.00,158.00,161.00
2014-03-04,1,30.00,4740.00,158.00,158.00,158.00
2014-03-05,7,1579.00,253676.00,164.00,157.00,162.00
2014-03-06,1,100.00,15900.00,159.00,159.00,159.00
2014-03-10,5,2065.00,326390.00,159.00,156.00,159.00
2014-03-11,3,1173.00,189743.00,164.00,161.00,161.00
2014-03-12,1,20.00,3180.00,159.00,159.00,159.00
2014-03-17,3,1469.00,227106.00,156.00,153.00,153.00
2014-03-23,1,4860.00,729000.00,150.00,150.00,150.00
2014-03-24,3,1060.00,162780.00,156.00,153.00,156.00
2014-03-25,7,620.00,105420.00,171.00,159.00,171.00
2014-03-26,6,120.00,21760.00,188.00,174.00,188.00
2014-03-27,3,60.00,11340.00,191.00,188.00,191.00
2014-03-31,2,336.00,65184.00,194.00,194.00,194.00
2014-04-01,1,40.00,7640.00,191.00,191.00,191.00
2014-04-02,2,312.00,58656.00,188.00,188.00,188.00
2014-04-06,1,200.00,37000.00,185.00,185.00,185.00
2014-04-07,1,200.00,36400.00,182.00,182.00,182.00
2014-04-09,2,512.00,91048.00,179.00,176.00,176.00
2014-04-10,7,5326.00,968566.00,185.00,173.00,185.00
2014-04-15,3,126.00,23766.00,191.00,188.00,191.00
2014-04-16,2,60.00,11700.00,197.00,194.00,197.00
2014-04-17,3,560.00,107080.00,194.00,188.00,188.00
2014-04-21,2,400.00,73400.00,185.00,182.00,182.00
2014-04-22,1,324.00,57996.00,179.00,179.00,179.00
2014-04-23,3,1804.00,319764.00,178.00,176.00,177.00
2014-04-27,2,3100.00,567000.00,183.00,180.00,183.00
2014-04-30,1,500.00,93000.00,186.00,186.00,186.00
2014-05-06,7,1038.00,197694.00,204.00,189.00,204.00
2014-05-07,3,980.00,207560.00,212.00,208.00,212.00
2014-05-08,3,2536.00,546860.00,219.00,215.00,219.00
2014-05-11,5,4166.00,941006.00,227.00,223.00,224.00
2014-05-13,7,1728.00,419088.00,246.00,228.00,246.00
2014-05-20,1,60.00,14520.00,242.00,242.00,242.00
2014-05-21,1,395.00,97170.00,246.00,246.00,246.00
2014-05-25,2,50.00,12500.00,250.00,250.00,250.00
2014-05-28,5,2660.00,665000.00,250.00,250.00,250.00
2014-06-02,7,3046.00,748270.00,250.00,245.00,245.00
2014-06-03,2,180.00,43140.00,241.00,238.00,238.00
2014-06-08,1,1000.00,230000.00,230.00,230.00,230.00
2014-06-05,2,1020.00,242680.00,238.00,234.00,234.00
2014-06-18,3,600.00,139080.00,234.00,230.00,238.00
2014-06-16,2,40.00,9440.00,238.00,234.00,238.00
2014-06-19,6,18975.00,4279262.00,226.00,214.00,218.00
2014-06-25,1,40.00,8640.00,216.00,216.00,216.00
2014-06-30,2,1240.00,268800.00,220.00,216.00,216.00
2014-07-01,1,756.00,162540.00,215.00,215.00,215.00
2014-07-02,1,200.00,43200.00,216.00,216.00,216.00
2014-07-03,1,1000.00,212000.00,212.00,212.00,212.00
2014-07-06,1,198.00,42768.00,216.00,216.00,216.00
2014-07-07,4,2180.00,461370.00,216.00,209.00,213.00
2014-07-08,1,966.00,208656.00,216.00,216.00,216.00
2014-07-10,3,1512.00,322404.00,214.00,210.00,214.00
2014-07-21,4,470.00,103900.00,226.00,218.00,222.00
2014-07-22,10,1355.00,302478.00,238.00,214.00,238.00
2014-07-23,7,1212.00,306710.00,261.00,242.00,261.00
2014-07-24,9,5700.00,1572700.00,281.00,266.00,280.00
2014-07-27,1,100.00,28500.00,285.00,285.00,285.00
2014-07-30,9,1599.00,478361.00,305.00,290.00,299.00
2014-08-03,9,4076.00,1219540.00,303.00,295.00,295.00
2014-08-04,1,69.00,20010.00,290.00,290.00,290.00
2014-08-05,3,100.00,28500.00,285.00,285.00,285.00
