Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-07-13,2,20.00,7400.00,370.00,370.00,370.00
2010-07-22,10,140.00,47610.00,363.00,333.00,333.00
2010-07-25,9,130.00,41250.00,327.00,309.00,309.00
2010-07-26,1,10.00,3030.00,303.00,303.00,303.00
2010-07-27,6,60.00,17080.00,297.00,273.00,273.00
2010-07-28,10,180.00,45000.00,268.00,246.00,246.00
2010-07-29,338,8960.00,2055140.00,242.00,222.00,230.00
2010-08-01,370,11860.00,2728880.00,234.00,221.00,232.00
2010-08-02,301,6600.00,1550520.00,242.00,228.00,242.00
2010-08-03,163,4560.00,1082270.00,246.00,231.00,238.00
2010-08-04,170,4860.00,1143650.00,238.00,233.00,235.00
2010-08-05,196,4790.00,1143650.00,242.00,233.00,242.00
2010-08-08,346,8780.00,2074980.00,241.00,234.00,236.00
2010-08-09,158,4860.00,1137730.00,239.00,223.00,234.00
2010-08-10,184,5500.00,1292090.00,240.00,230.00,235.00
2010-08-11,184,4310.00,1013480.00,238.00,233.00,236.00
2010-08-12,324,7220.00,1708030.00,240.00,235.00,237.00
2010-08-15,84,1410.00,330210.00,237.00,230.00,235.00
2010-08-16,172,6950.00,1649520.00,240.00,235.00,236.00
2010-08-17,147,3840.00,901000.00,238.00,231.00,232.00
2010-08-18,199,8120.00,1875790.00,235.00,229.00,232.00
2010-08-19,220,8980.00,2077000.00,235.00,228.00,228.00
2010-08-22,94,2370.00,533410.00,230.00,220.00,220.00
2010-08-23,159,2690.00,591110.00,225.00,216.00,225.00
2010-08-26,150,4540.00,988480.00,222.00,214.00,215.00
2010-08-29,84,2690.00,557340.00,213.00,204.00,206.00
2010-08-30,160,5320.00,1075500.00,206.00,199.00,199.00
2010-08-31,208,4610.00,921110.00,201.00,197.00,199.00
2010-09-02,80,3040.00,603770.00,199.00,196.00,197.00
2010-09-05,91,2380.00,458280.00,196.00,183.00,183.00
2010-09-06,48,1640.00,311360.00,201.00,184.00,201.00
2010-09-07,96,2720.00,555520.00,205.00,200.00,205.00
2010-09-08,80,1930.00,389540.00,207.00,197.00,199.00
2010-09-09,30,1700.00,330600.00,196.00,191.00,192.00
2010-09-12,131,2340.00,443170.00,192.00,187.00,187.00
2010-09-13,58,1080.00,200630.00,188.00,184.00,188.00
2010-09-14,5,220.00,42020.00,191.00,191.00,191.00
2010-09-15,31,490.00,91950.00,190.00,186.00,188.00
2010-09-16,96,1750.00,334070.00,196.00,187.00,196.00
2010-09-19,45,1180.00,223810.00,193.00,186.00,189.00
2010-09-20,42,1620.00,310190.00,195.00,187.00,191.00
2010-09-21,17,520.00,97840.00,191.00,184.00,184.00
2010-09-23,75,1810.00,338070.00,198.00,183.00,198.00
2010-09-26,16,260.00,51000.00,198.00,194.00,197.00
2010-09-27,114,2600.00,504670.00,204.00,188.00,193.00
2010-09-28,189,3770.00,715860.00,193.00,188.00,190.00
2010-09-29,43,1370.00,259100.00,193.00,187.00,189.00
2010-09-30,94,1720.00,325790.00,191.00,188.00,189.00
2010-10-03,48,1380.00,257400.00,188.00,185.00,188.00
2010-10-05,84,1630.00,308590.00,200.00,187.00,199.00
