Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2011-11-10,3,30.00,9600.00,324.00,318.00,318.00
2011-11-21,6,60.00,18070.00,312.00,289.00,289.00
2011-11-22,6,130.00,35420.00,284.00,264.00,264.00
2011-11-28,8,220.00,55930.00,259.00,254.00,254.00
2012-01-09,4,180.00,44820.00,249.00,249.00,249.00
2012-02-26,19,190.00,45030.00,237.00,237.00,237.00
2012-03-13,13,190.00,42300.00,233.00,214.00,214.00
2012-03-14,3,30.00,6000.00,204.00,196.00,196.00
2012-03-15,2,20.00,3830.00,193.00,190.00,190.00
2012-04-03,2,140.00,26600.00,190.00,190.00,190.00
2012-04-19,7,70.00,13090.00,187.00,187.00,187.00
2012-04-29,3,30.00,5340.00,178.00,178.00,178.00
2012-06-04,4,40.00,6800.00,170.00,170.00,170.00
2012-06-10,11,180.00,30600.00,170.00,170.00,170.00
2012-06-11,7,370.00,59940.00,162.00,162.00,162.00
2012-06-12,1,10.00,1540.00,154.00,154.00,154.00
2012-06-17,2,20.00,2940.00,147.00,147.00,147.00
2012-06-21,1,10.00,1400.00,140.00,140.00,140.00
2012-06-28,5,80.00,10380.00,134.00,128.00,128.00
2012-07-03,5,50.00,5960.00,122.00,118.00,118.00
2012-07-04,12,130.00,14110.00,113.00,107.00,107.00
2012-07-05,48,500.00,51000.00,102.00,102.00,102.00
2012-07-08,15,450.00,45900.00,102.00,102.00,102.00
2012-07-11,20,200.00,20400.00,102.00,102.00,102.00
2012-07-12,2,20.00,2040.00,102.00,102.00,102.00
2012-07-15,22,440.00,44880.00,102.00,102.00,102.00
2012-07-16,26,260.00,26520.00,102.00,102.00,102.00
2012-07-17,4,60.00,5810.00,97.00,96.00,96.00
2012-07-24,1,10.00,920.00,92.00,92.00,92.00
2012-07-26,28,410.00,34910.00,88.00,83.00,84.00
2012-07-29,99,1620.00,130580.00,82.00,78.00,80.00
2012-07-30,118,1820.00,142590.00,79.00,77.00,78.00
2012-07-31,72,1170.00,89810.00,78.00,74.00,74.00
2012-08-01,53,1140.00,85420.00,76.00,72.00,73.00
2012-08-05,71,980.00,72590.00,75.00,73.00,74.00
2012-08-06,5,50.00,3730.00,75.00,74.00,75.00
2012-08-07,43,500.00,37060.00,75.00,73.00,74.00
2012-08-08,30,970.00,69230.00,73.00,71.00,71.00
2012-08-12,33,760.00,53090.00,72.00,68.00,71.00
2012-08-13,10,160.00,11220.00,71.00,69.00,70.00
2012-08-14,40,490.00,34470.00,71.00,69.00,69.00
2012-08-15,15,320.00,22400.00,70.00,70.00,70.00
2012-08-16,10,100.00,6900.00,69.00,69.00,69.00
2012-08-19,129,1640.00,117330.00,73.00,70.00,71.00
2012-08-21,30,370.00,26050.00,71.00,70.00,70.00
2012-08-22,36,410.00,28590.00,70.00,69.00,70.00
2012-08-23,71,1630.00,113320.00,71.00,68.00,68.00
2012-08-26,43,730.00,52940.00,74.00,69.00,72.00
