Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2015-07-14,19,440.00,147470.00,348.00,308.00,308.00
2015-07-15,10,131.00,37516.00,302.00,278.00,278.00
2015-07-16,33,476.00,120473.00,273.00,251.00,251.00
2015-07-22,170,4332.00,1084202.00,276.00,226.00,276.00
2015-07-23,108,9140.00,2663017.00,300.00,272.00,272.00
2015-07-26,2,26.00,7267.00,282.00,277.00,282.00
2015-07-27,10,464.00,129986.00,287.00,272.00,274.00
2015-07-28,37,1155.00,303036.00,271.00,256.00,271.00
2015-07-29,53,1638.00,426388.00,266.00,256.00,257.00
2015-07-30,75,3736.00,993649.00,271.00,250.00,271.00
2015-08-02,33,1126.00,302051.00,272.00,266.00,267.00
2015-08-03,43,1630.00,436068.00,270.00,260.00,262.00
2015-08-04,87,1693.00,449060.00,269.00,261.00,265.00
2015-08-05,50,1312.00,340168.00,262.00,257.00,257.00
2015-08-06,31,530.00,136375.00,260.00,256.00,256.00
2015-08-09,38,1061.00,268195.00,258.00,247.00,250.00
2015-08-10,55,870.00,213062.00,248.00,239.00,248.00
2015-08-11,15,278.00,67940.00,248.00,241.00,244.00
2015-08-12,40,613.00,144471.00,240.00,232.00,239.00
2015-08-13,38,921.00,212306.00,235.00,227.00,231.00
2015-08-16,11,201.00,45248.00,227.00,223.00,224.00
2015-08-17,12,160.00,35041.00,220.00,216.00,216.00
2015-08-18,3,33.00,7095.00,215.00,215.00,215.00
2015-08-19,16,669.00,144703.00,232.00,208.00,230.00
2015-08-20,33,1426.00,345987.00,253.00,226.00,240.00
2015-08-23,61,1134.00,254536.00,240.00,216.00,223.00
2015-08-24,68,1458.00,325255.00,227.00,220.00,223.00
2015-08-25,51,1001.00,222211.00,226.00,219.00,226.00
2015-08-26,63,920.00,208292.00,234.00,219.00,227.00
2015-08-27,93,2901.00,669357.00,233.00,229.00,229.00
2015-08-31,82,2184.00,501614.00,234.00,226.00,226.00
2015-09-01,43,1640.00,378459.00,235.00,222.00,235.00
2015-09-02,145,2708.00,633959.00,246.00,230.00,246.00
2015-09-03,136,1937.00,463724.00,242.00,228.00,230.00
2015-09-06,56,2811.00,645922.00,232.00,226.00,230.00
