Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2013-10-08,102,15089.00,8459814.00,561.00,510.00,561.00
2013-10-09,504,35306.00,20267098.00,617.00,552.00,588.00
2013-10-10,237,35368.00,20109429.00,592.00,560.00,570.00
2013-10-17,35,929.00,521350.00,571.00,556.00,570.00
2013-10-20,307,20290.00,11385331.00,572.00,550.00,552.00
2013-10-21,269,17633.00,9752910.00,562.00,546.00,550.00
2013-10-22,349,14205.00,7814629.00,553.00,541.00,552.00
2013-10-23,213,9428.00,5189975.00,553.00,548.00,550.00
2013-10-24,282,15905.00,8711768.00,550.00,546.00,546.00
2013-10-27,244,23588.00,12561924.00,553.00,525.00,532.00
2013-10-28,271,9751.00,5128338.00,532.00,502.00,525.00
2013-10-29,314,15923.00,8244850.00,525.00,511.00,524.00
2013-10-30,321,10391.00,5479842.00,541.00,520.00,534.00
2013-10-31,209,18215.00,9765325.00,554.00,527.00,530.00
2013-11-06,196,9332.00,4673301.00,520.00,491.00,506.00
2013-11-07,222,20606.00,10581852.00,520.00,506.00,520.00
2013-11-10,103,5575.00,2901743.00,535.00,513.00,522.00
2013-11-11,158,8213.00,4306410.00,546.00,512.00,536.00
2013-11-12,154,17438.00,9600227.00,562.00,545.00,546.00
2013-11-13,208,22376.00,12382523.00,560.00,540.00,560.00
2013-11-14,309,23479.00,12938781.00,565.00,545.00,550.00
2013-11-21,6,408.00,236017.00,583.00,561.00,583.00
2013-11-24,78,11553.00,7225739.00,641.00,594.00,610.00
2013-11-25,91,7967.00,4718224.00,614.00,569.00,608.00
2013-11-26,150,9692.00,5842573.00,620.00,591.00,595.00
2013-11-27,51,5158.00,3023589.00,594.00,580.00,590.00
2013-11-28,96,6828.00,4026393.00,600.00,576.00,590.00
2013-12-01,97,5856.00,3430741.00,593.00,582.00,587.00
2013-12-02,144,8028.00,4738726.00,598.00,578.00,598.00
2013-12-03,144,16832.00,10177459.00,650.00,591.00,648.00
2013-12-04,96,18675.00,12783141.00,712.00,650.00,706.00
2013-12-05,103,18044.00,12887823.00,772.00,690.00,715.00
2013-12-08,79,13331.00,9258816.00,715.00,661.00,681.00
2013-12-09,100,8425.00,5667036.00,681.00,662.00,680.00
2013-12-10,134,8708.00,5859531.00,679.00,654.00,670.00
2013-12-11,176,16583.00,11141470.00,685.00,668.00,672.00
2013-12-12,116,8145.00,5637642.00,704.00,674.00,700.00
2013-12-15,60,7684.00,5429246.00,734.00,695.00,729.00
2013-12-16,16,12260.00,9185790.00,771.00,730.00,771.00
2013-12-18,31,2234.00,1749641.00,801.00,770.00,785.00
2013-12-19,55,13766.00,10249279.00,787.00,721.00,765.00
2013-12-22,137,14248.00,10814012.00,770.00,750.00,765.00
2013-12-23,197,16742.00,12456922.00,762.00,732.00,740.00
2013-12-24,325,14493.00,10438348.00,740.00,691.00,715.00
2013-12-26,295,46841.00,33634449.00,736.00,701.00,706.00
2013-12-29,1,21.00,14574.00,694.00,694.00,694.00
2013-12-31,36,1527.00,1072066.00,710.00,681.00,702.00
2014-01-01,71,3160.00,2191618.00,698.00,689.00,689.00
2014-01-02,112,10548.00,7253567.00,720.00,676.00,700.00
2014-01-05,51,3204.00,2233355.00,700.00,686.00,700.00
2014-01-06,48,1762.00,1214481.00,698.00,682.00,690.00
2014-01-07,73,3346.00,2320311.00,709.00,680.00,690.00
2014-01-09,78,3122.00,2255279.00,735.00,711.00,730.00
2014-01-08,69,2717.00,1948472.00,725.00,702.00,715.00
2014-01-12,22,665.00,515049.00,800.00,744.00,788.00
2014-01-13,42,1440.00,1158851.00,823.00,758.00,823.00
2014-01-16,44,2697.00,2384228.00,892.00,850.00,880.00
