Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2015-12-21,16,160.00,55940.00,356.00,324.00,356.00
2015-12-22,1,10.00,3210.00,321.00,321.00,321.00
2016-01-04,1,10.00,3270.00,327.00,327.00,327.00
2016-01-05,2,20.00,6720.00,339.00,333.00,339.00
2016-01-07,1,10.00,3450.00,345.00,345.00,345.00
2016-01-11,5,50.00,18250.00,379.00,351.00,379.00
2016-01-12,10,100.00,40830.00,416.00,386.00,416.00
2016-05-08,2,20.00,8720.00,436.00,436.00,436.00
2016-05-09,1,10.00,4440.00,444.00,444.00,444.00
2016-05-15,1,10.00,4520.00,452.00,452.00,452.00
2016-05-18,1,10.00,4610.00,461.00,461.00,461.00
2016-05-22,6,60.00,29770.00,507.00,484.00,507.00
2016-05-24,1,10.00,5320.00,532.00,532.00,532.00
2016-06-06,1,10.00,5420.00,542.00,542.00,542.00
2016-06-08,1,11.00,6072.00,552.00,552.00,552.00
2016-06-20,1,10.00,5630.00,563.00,563.00,563.00
2016-06-29,1,10.00,5740.00,574.00,574.00,574.00
