Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-10,1,22.00,11110.00,505.00,505.00,505.00
2010-06-20,1,100.00,49500.00,495.00,495.00,495.00
2010-08-26,1,20.00,9900.00,495.00,495.00,495.00
2010-10-07,1,290.00,143550.00,495.00,495.00,495.00
2010-11-23,1,50.00,24300.00,486.00,486.00,486.00
2010-12-09,1,39.00,18603.00,477.00,477.00,477.00
2011-02-09,9,932.00,418196.00,468.00,433.00,433.00
2011-02-10,4,1150.00,482700.00,425.00,409.00,416.00
2011-02-17,2,1000.00,400096.00,408.00,400.00,400.00
2011-03-09,1,58.00,23200.00,400.00,400.00,400.00
2011-03-10,6,698.00,264992.00,392.00,364.00,364.00
2011-03-14,2,30.00,10710.00,357.00,357.00,357.00
2011-03-21,6,190.00,64432.00,350.00,322.00,322.00
2011-05-10,2,144.00,46368.00,322.00,322.00,322.00
2011-07-11,4,752.00,237632.00,316.00,316.00,316.00
2011-07-13,2,288.00,91008.00,316.00,316.00,316.00
2011-08-02,1,39.00,12090.00,310.00,310.00,310.00
2011-08-28,1,39.00,12090.00,310.00,310.00,310.00
2011-09-18,1,19.00,5776.00,304.00,304.00,304.00
2012-04-04,1,39.00,11856.00,304.00,304.00,304.00
2012-04-16,1,30.00,8940.00,298.00,298.00,298.00
2012-05-17,1,37.00,10841.00,293.00,293.00,293.00
2012-05-20,1,20.00,5800.00,290.00,290.00,290.00
2012-05-21,2,99.00,28710.00,290.00,290.00,290.00
2012-06-03,1,20.00,5700.00,285.00,285.00,285.00
2012-06-04,2,1491.00,412980.00,280.00,275.00,275.00
2012-06-05,8,965.00,242702.00,270.00,248.00,248.00
2012-06-06,4,3039.00,726328.00,244.00,232.00,232.00
2012-09-02,6,477.00,63166.00,136.00,130.00,132.00
2012-09-03,3,378.00,48798.00,132.00,128.00,128.00
2012-09-23,1,535.00,69550.00,130.00,130.00,130.00
2012-09-24,2,1089.00,144856.00,134.00,132.00,134.00
2012-09-25,4,229.00,31842.00,142.00,136.00,142.00
2012-09-26,8,480.00,67680.00,142.00,140.00,142.00
2012-09-27,12,3623.00,522676.00,150.00,144.00,150.00
2012-09-30,1,20.00,2940.00,147.00,147.00,147.00
2012-10-08,3,139.00,20275.00,147.00,145.00,147.00
2012-11-28,1,20.00,2940.00,147.00,147.00,147.00
2013-02-25,2,94.00,13910.00,149.00,147.00,147.00
