Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-20,3,136.00,53082.00,393.00,385.00,385.00
2010-04-21,1,12.00,4536.00,378.00,378.00,378.00
2010-04-25,7,281.00,99239.00,371.00,350.00,350.00
2010-04-27,9,514.00,173398.00,343.00,331.00,331.00
2010-04-28,4,463.00,152529.00,332.00,326.00,332.00
2010-04-29,17,1373.00,490543.00,365.00,326.00,364.00
2010-04-15,4,2031.00,785610.00,392.00,385.00,392.00
2010-05-09,4,129.00,45033.00,357.00,345.00,345.00
2010-05-10,5,96.00,32908.00,347.00,335.00,347.00
2010-05-11,12,721.00,269648.00,379.00,353.00,379.00
2010-05-12,23,2030.00,771995.00,402.00,360.00,398.00
2010-05-13,11,973.00,403099.00,430.00,397.00,397.00
2010-05-16,9,793.00,297918.00,390.00,369.00,370.00
2010-05-17,7,572.00,207492.00,371.00,360.00,371.00
2010-05-18,4,295.00,112020.00,392.00,375.00,392.00
2010-05-19,13,908.00,361073.00,406.00,389.00,406.00
2010-05-20,21,2157.00,880271.00,412.00,404.00,404.00
2010-05-23,10,656.00,256431.00,400.00,382.00,394.00
2010-05-24,12,846.00,341308.00,413.00,387.00,412.00
2010-05-25,18,1812.00,790900.00,443.00,413.00,439.00
2010-05-26,20,1947.00,859383.00,455.00,422.00,429.00
2010-05-30,12,540.00,246325.00,467.00,437.00,467.00
2010-05-31,20,1847.00,836473.00,485.00,433.00,441.00
2010-06-01,18,1775.00,734075.00,433.00,405.00,413.00
2010-06-02,2,158.00,66460.00,421.00,420.00,421.00
2010-06-03,11,990.00,428976.00,437.00,429.00,429.00
2010-06-07,8,1061.00,450283.00,433.00,415.00,419.00
2010-06-08,6,1164.00,475548.00,431.00,405.00,431.00
2010-06-09,5,460.00,202560.00,445.00,439.00,445.00
2010-06-10,8,2006.00,878017.00,444.00,429.00,437.00
2010-06-13,1,48.00,20592.00,429.00,429.00,429.00
2010-06-14,8,443.00,183632.00,421.00,411.00,413.00
2010-06-15,2,183.00,77043.00,421.00,421.00,421.00
2010-06-16,2,173.00,73297.00,425.00,421.00,425.00
2010-06-17,3,580.00,244160.00,422.00,420.00,420.00
2010-06-20,1,62.00,26102.00,421.00,421.00,421.00
2010-06-21,4,596.00,250918.00,429.00,420.00,429.00
2010-06-23,1,115.00,48415.00,421.00,421.00,421.00
2010-06-24,5,1051.00,435163.00,415.00,409.00,409.00
2010-06-28,3,422.00,170910.00,405.00,405.00,405.00
2010-06-29,4,419.00,166623.00,404.00,397.00,404.00
2010-06-30,3,107.00,43664.00,412.00,404.00,410.00
2010-07-01,12,592.00,255344.00,450.00,418.00,450.00
2010-07-04,4,160.00,69720.00,441.00,433.00,433.00
2010-07-05,8,2585.00,1062116.00,425.00,410.00,410.00
2010-07-06,7,179.00,78346.00,450.00,418.00,450.00
2010-07-08,9,547.00,236207.00,441.00,419.00,435.00
2010-07-12,15,2429.00,1026254.00,434.00,417.00,418.00
2010-07-13,5,1122.00,471994.00,433.00,420.00,433.00
2010-07-14,14,1406.00,607195.00,452.00,425.00,449.00
2010-07-15,11,605.00,271034.00,462.00,444.00,444.00
2010-07-18,1,27.00,11772.00,436.00,436.00,436.00
2010-07-19,4,1453.00,609173.00,428.00,415.00,415.00
2010-07-20,4,336.00,137184.00,421.00,405.00,421.00
2010-07-21,3,64.00,27424.00,437.00,421.00,437.00
