Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,16,587.00,1642908.00,2830.00,2790.00,2801.00
2010-04-20,11,957.00,2664289.00,2798.00,2767.00,2767.00
2010-04-21,35,2207.00,5852106.00,2712.00,2595.00,2595.00
2010-04-22,12,776.00,1978618.00,2653.00,2523.00,2600.00
2010-04-25,18,1488.00,3845157.00,2600.00,2575.00,2591.00
2010-04-26,19,798.00,2034760.00,2599.00,2519.00,2519.00
2010-04-27,23,1255.00,3106330.00,2520.00,2450.00,2450.00
2010-04-28,7,503.00,1216664.00,2460.00,2403.00,2445.00
2010-04-29,11,552.00,1423665.00,2650.00,2480.00,2650.00
2010-04-15,9,693.00,1968110.00,2850.00,2825.00,2831.00
2010-05-09,4,151.00,390000.00,2600.00,2560.00,2575.00
2010-05-10,11,1332.00,3443120.00,2610.00,2555.00,2610.00
2010-05-11,19,1048.00,2844615.00,2762.00,2662.00,2721.00
2010-05-12,24,2714.00,7630083.00,2881.00,2740.00,2810.00
2010-05-13,29,3122.00,9220300.00,3020.00,2866.00,2920.00
2010-05-16,24,1209.00,3442719.00,2901.00,2800.00,2830.00
2010-05-17,16,918.00,2567600.00,2850.00,2744.00,2850.00
2010-05-18,3,312.00,906040.00,2920.00,2900.00,2900.00
2010-05-19,14,1083.00,3170268.00,2975.00,2890.00,2952.00
2010-05-20,16,938.00,2776018.00,2978.00,2935.00,2978.00
2010-05-23,10,662.00,1958230.00,3015.00,2920.00,3001.00
2010-05-24,7,286.00,853810.00,3020.00,2965.00,3020.00
2010-05-25,14,1232.00,3778304.00,3120.00,2980.00,3109.00
2010-05-26,16,836.00,2652610.00,3200.00,3110.00,3150.00
2010-05-30,18,3034.00,10061699.00,3400.00,3200.00,3400.00
2010-05-31,42,2381.00,7877222.00,3470.00,3235.00,3250.00
2010-06-01,28,1923.00,6036106.00,3280.00,3000.00,3280.00
2010-06-02,14,1362.00,4362745.00,3290.00,3176.00,3200.00
2010-06-03,13,1035.00,3370362.00,3299.00,3215.00,3250.00
2010-06-06,9,350.00,1125300.00,3250.00,3200.00,3200.00
2010-06-07,13,979.00,3084872.00,3200.00,3080.00,3200.00
2010-06-08,16,887.00,2857305.00,3250.00,3150.00,3250.00
2010-06-09,10,506.00,1663870.00,3315.00,3245.00,3290.00
2010-06-10,19,1432.00,4679830.00,3305.00,3250.00,3265.00
2010-06-13,8,681.00,2202515.00,3255.00,3220.00,3220.00
2010-06-14,7,289.00,925830.00,3240.00,3200.00,3200.00
2010-06-15,7,215.00,685680.00,3245.00,3171.00,3200.00
2010-06-16,14,490.00,1564900.00,3205.00,3175.00,3195.00
2010-06-17,12,526.00,1653380.00,3225.00,3130.00,3190.00
2010-06-20,2,35.00,111850.00,3200.00,3190.00,3200.00
2010-06-21,3,150.00,471800.00,3200.00,3120.00,3120.00
2010-06-22,8,433.00,1353714.00,3182.00,3100.00,3115.00
