Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,3,1600.00,293000.00,185.00,182.00,185.00
2010-04-20,3,594.00,108228.00,185.00,182.00,182.00
2010-04-21,10,1920.00,345400.00,182.00,179.00,180.00
2010-04-22,3,1870.00,327930.00,177.00,171.00,171.00
2010-04-25,3,1050.00,175950.00,168.00,165.00,168.00
2010-04-26,1,600.00,99000.00,165.00,165.00,165.00
2010-04-27,1,960.00,155520.00,162.00,162.00,162.00
2010-04-29,6,1200.00,205200.00,177.00,165.00,177.00
2010-04-15,5,1372.00,266805.00,200.00,190.00,190.00
2010-05-11,1,250.00,45000.00,180.00,180.00,180.00
2010-05-12,2,116.00,21228.00,183.00,183.00,183.00
2010-05-13,2,40.00,7500.00,189.00,186.00,189.00
2010-05-18,1,16.00,2976.00,186.00,186.00,186.00
2010-05-19,3,1250.00,238050.00,193.00,189.00,193.00
2010-05-20,3,540.00,104220.00,193.00,193.00,193.00
2010-05-23,4,566.00,109248.00,195.00,190.00,195.00
2010-05-25,7,970.00,193820.00,205.00,198.00,201.00
2010-05-26,9,800.00,165900.00,210.00,205.00,205.00
2010-05-30,1,58.00,12122.00,209.00,209.00,209.00
2010-05-31,2,210.00,44730.00,213.00,213.00,213.00
2010-06-02,1,50.00,10450.00,209.00,209.00,209.00
2010-06-03,6,520.00,106620.00,210.00,202.00,202.00
2010-06-07,2,230.00,45600.00,200.00,198.00,200.00
2010-06-08,3,400.00,78800.00,200.00,196.00,196.00
2010-06-09,7,1752.00,336090.00,193.00,190.00,193.00
2010-06-10,3,750.00,142500.00,190.00,190.00,190.00
2010-06-15,1,500.00,95000.00,190.00,190.00,190.00
2010-06-16,1,100.00,18700.00,187.00,187.00,187.00
2010-06-22,8,3330.00,603750.00,185.00,179.00,179.00
2010-06-23,5,720.00,128340.00,180.00,176.00,176.00
2010-06-24,7,1700.00,296000.00,176.00,173.00,173.00
2010-06-28,1,500.00,85000.00,170.00,170.00,170.00
2010-06-29,2,1260.00,215910.00,173.00,170.00,173.00
2010-06-30,3,525.00,92375.00,178.00,175.00,178.00
2010-07-04,5,440.00,81260.00,187.00,181.00,187.00
2010-07-05,3,730.00,135530.00,188.00,185.00,188.00
2010-07-06,1,100.00,18500.00,185.00,185.00,185.00
2010-07-07,2,230.00,43240.00,188.00,188.00,188.00
2010-07-08,1,100.00,19100.00,191.00,191.00,191.00
2010-07-14,1,100.00,19000.00,190.00,190.00,190.00
2010-07-15,1,100.00,19300.00,193.00,193.00,193.00
2010-07-18,2,130.00,24700.00,190.00,190.00,190.00
2010-07-25,1,50.00,9350.00,187.00,187.00,187.00
2010-07-26,2,80.00,14630.00,184.00,181.00,181.00
2010-07-28,2,100.00,17650.00,178.00,175.00,175.00
2010-07-29,5,1105.00,186460.00,172.00,167.00,167.00
2010-08-01,1,500.00,83500.00,167.00,167.00,167.00
2010-08-02,4,1650.00,275850.00,169.00,166.00,169.00
2010-08-03,2,1050.00,178500.00,170.00,170.00,170.00
