Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-07-14,1,20.00,7060.00,353.00,353.00,353.00
2010-08-03,5,60.00,20100.00,346.00,328.00,328.00
2010-08-04,3,30.00,9540.00,322.00,316.00,316.00
2010-08-08,1,10.00,3100.00,310.00,310.00,310.00
2010-08-09,2,30.00,9300.00,310.00,310.00,310.00
2010-08-11,3,40.00,12400.00,310.00,310.00,310.00
2010-09-05,1,10.00,3100.00,310.00,310.00,310.00
2010-09-06,5,60.00,17590.00,304.00,288.00,288.00
2010-09-07,7,70.00,19060.00,283.00,268.00,268.00
2010-09-08,4,50.00,12850.00,263.00,253.00,253.00
2010-09-09,2,20.00,4920.00,248.00,244.00,244.00
2010-09-12,6,60.00,14640.00,244.00,244.00,244.00
2010-09-21,3,40.00,9760.00,244.00,244.00,244.00
2010-09-23,4,40.00,9760.00,244.00,244.00,244.00
2010-09-29,3,30.00,6960.00,232.00,232.00,232.00
2010-09-30,1,20.00,4640.00,232.00,232.00,232.00
2010-10-05,1,10.00,2210.00,221.00,221.00,221.00
2010-10-06,1,20.00,4200.00,210.00,210.00,210.00
2010-10-07,19,310.00,59070.00,206.00,189.00,189.00
2010-10-10,267,5240.00,927640.00,187.00,171.00,174.00
2010-10-11,189,3170.00,554660.00,183.00,168.00,182.00
2010-10-12,190,2920.00,522940.00,181.00,175.00,180.00
2010-10-13,33,670.00,118390.00,180.00,174.00,179.00
2010-10-20,92,1780.00,317940.00,180.00,175.00,178.00
2010-10-21,84,1230.00,216700.00,177.00,174.00,177.00
2010-10-24,95,1500.00,262830.00,177.00,172.00,173.00
2010-10-25,108,1330.00,230490.00,176.00,170.00,175.00
2010-10-26,51,910.00,159020.00,178.00,172.00,175.00
2010-10-27,65,1110.00,193930.00,177.00,172.00,173.00
2010-10-28,90,1240.00,216130.00,179.00,171.00,178.00
2010-10-31,106,1620.00,280000.00,178.00,170.00,172.00
2010-11-02,74,1190.00,201820.00,172.00,166.00,170.00
2010-11-03,78,1230.00,211600.00,173.00,170.00,173.00
2010-11-04,102,1770.00,307740.00,179.00,171.00,177.00
2010-11-09,85,1860.00,330030.00,179.00,174.00,175.00
2010-11-10,106,1910.00,327530.00,175.00,170.00,172.00
2010-11-11,91,1760.00,303400.00,176.00,169.00,170.00
2010-11-14,91,1470.00,245970.00,168.00,166.00,167.00
2010-11-15,44,1020.00,169750.00,168.00,164.00,166.00
2010-11-16,68,1230.00,204110.00,167.00,164.00,167.00
2010-11-18,15,250.00,42240.00,170.00,167.00,170.00
2010-11-21,40,930.00,156830.00,170.00,167.00,167.00
2010-11-22,57,690.00,114200.00,168.00,165.00,165.00
2010-11-23,68,1210.00,200600.00,167.00,162.00,162.00
2010-11-24,50,740.00,118870.00,162.00,159.00,162.00
2010-11-25,42,670.00,108090.00,162.00,158.00,161.00
2010-11-28,71,1680.00,273430.00,166.00,160.00,164.00
2010-11-29,35,1260.00,202570.00,164.00,159.00,160.00
2010-11-30,35,470.00,75540.00,164.00,159.00,163.00
2010-12-01,121,1670.00,272430.00,165.00,161.00,163.00
2010-12-02,106,1500.00,245920.00,167.00,161.00,162.00
2010-12-05,101,1380.00,221700.00,163.00,158.00,160.00
2010-12-06,53,690.00,110740.00,162.00,160.00,162.00
2010-12-07,37,410.00,65530.00,161.00,159.00,161.00
2010-12-08,81,1490.00,246090.00,167.00,164.00,165.00
2010-12-09,49,800.00,129650.00,163.00,160.00,160.00
2010-12-12,29,380.00,60720.00,161.00,158.00,160.00
2010-12-14,15,220.00,34750.00,159.00,157.00,159.00
2010-12-15,49,850.00,134050.00,160.00,155.00,157.00
2010-12-16,23,490.00,75290.00,158.00,151.00,158.00
2010-12-19,15,350.00,55080.00,158.00,156.00,157.00
2010-12-20,15,230.00,35820.00,157.00,152.00,154.00
2010-12-22,5,70.00,10740.00,156.00,153.00,153.00
2010-12-23,50,960.00,149700.00,159.00,153.00,159.00
