Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-06-06,1,10.00,7000.00,700.00,700.00,700.00
2010-08-30,2,352.00,237026.00,686.00,673.00,673.00
2010-09-28,2,321.00,211860.00,660.00,660.00,660.00
2010-10-24,1,53.00,34291.00,647.00,647.00,647.00
2010-10-25,3,30.00,18690.00,635.00,611.00,611.00
2010-10-26,3,30.00,17640.00,599.00,577.00,577.00
2010-10-28,2,90.00,50060.00,566.00,555.00,555.00
2010-12-02,6,370.00,188976.00,544.00,500.00,500.00
2010-12-13,2,53.00,24878.00,475.00,466.00,466.00
2011-01-03,3,303.00,137679.00,457.00,448.00,448.00
2011-01-10,6,1073.00,443800.00,440.00,408.00,408.00
2011-01-11,1,43.00,17200.00,400.00,400.00,400.00
2011-01-17,2,723.00,278439.00,392.00,385.00,385.00
2011-01-19,4,185.00,64679.00,366.00,347.00,347.00
2011-01-23,6,463.00,150917.00,341.00,317.00,317.00
2011-02-08,1,109.00,34553.00,317.00,317.00,317.00
2011-02-24,2,170.00,53656.00,317.00,311.00,317.00
2011-03-01,1,143.00,45331.00,317.00,317.00,317.00
2011-03-03,2,849.00,259005.00,311.00,305.00,305.00
2011-03-07,11,2576.00,718910.00,285.00,270.00,270.00
2011-03-09,4,285.00,74735.00,265.00,260.00,260.00
2011-05-02,1,12.00,2544.00,212.00,212.00,212.00
2011-05-03,1,13.00,2704.00,208.00,208.00,208.00
2011-06-01,2,72.00,14476.00,204.00,200.00,200.00
2011-06-23,4,490.00,99530.00,208.00,203.00,208.00
2011-07-11,11,330.00,68640.00,208.00,208.00,208.00
2011-07-14,1,27.00,5508.00,204.00,204.00,204.00
2011-07-20,8,10525.00,2100023.00,200.00,185.00,185.00
2011-07-21,2,1090.00,204950.00,191.00,188.00,191.00
2011-07-24,2,143.00,27472.00,194.00,191.00,191.00
2011-07-28,2,800.00,148900.00,188.00,185.00,185.00
2011-07-31,2,1291.00,234611.00,182.00,179.00,179.00
2011-08-07,1,198.00,34848.00,176.00,176.00,176.00
2011-08-08,1,104.00,17992.00,173.00,173.00,173.00
2011-08-09,2,170.00,28750.00,170.00,167.00,167.00
2011-08-10,4,108.00,18262.00,170.00,169.00,169.00
2011-08-11,1,12.00,1992.00,166.00,166.00,166.00
2011-08-16,1,21.00,3423.00,163.00,163.00,163.00
2011-08-18,5,214.00,34240.00,160.00,160.00,160.00
2011-08-23,1,44.00,6908.00,157.00,157.00,157.00
2011-09-04,1,53.00,8162.00,154.00,154.00,154.00
2011-09-07,1,10.00,1570.00,157.00,157.00,157.00
2011-09-13,4,247.00,38839.00,160.00,157.00,157.00
2011-09-14,1,263.00,40502.00,154.00,154.00,154.00
2011-09-15,2,281.00,41648.00,151.00,148.00,148.00
2011-09-18,3,281.00,42240.00,156.00,150.00,156.00
