Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2011-10-31,1,10.00,3150.00,315.00,315.00,315.00
2012-03-25,3,150.00,45450.00,309.00,297.00,297.00
2012-04-01,1,90.00,26730.00,297.00,297.00,297.00
2013-08-18,2,60.00,17520.00,292.00,292.00,292.00
2013-08-19,4,60.00,16720.00,287.00,272.00,272.00
2013-08-20,3,40.00,10450.00,267.00,258.00,258.00
2013-08-25,8,7189.00,1782922.00,253.00,248.00,248.00
2013-08-26,2,38.00,9272.00,244.00,244.00,244.00
2013-08-27,1,130.00,31850.00,245.00,245.00,245.00
2013-09-01,5,666.00,159202.00,241.00,239.00,239.00
2013-09-03,6,300.00,67078.00,235.00,216.00,216.00
2013-09-09,39,6256.00,1221714.00,212.00,195.00,195.00
2013-09-10,92,10301.00,1998986.00,197.00,190.00,195.00
2013-09-11,44,5286.00,1048553.00,202.00,190.00,202.00
2013-09-12,32,1044.00,206446.00,201.00,196.00,201.00
2013-09-15,29,2367.00,475242.00,205.00,196.00,200.00
2013-09-16,27,1212.00,241186.00,204.00,196.00,196.00
2013-09-17,9,734.00,144721.00,201.00,193.00,198.00
2013-09-19,13,577.00,113010.00,198.00,193.00,193.00
2013-09-22,11,2369.00,469501.00,201.00,195.00,198.00
2013-09-23,9,617.00,119531.00,196.00,191.00,196.00
2013-09-24,10,726.00,143946.00,199.00,194.00,199.00
2013-09-25,15,828.00,162028.00,197.00,194.00,196.00
2013-09-26,8,377.00,74383.00,198.00,196.00,196.00
2013-09-29,13,484.00,96474.00,201.00,196.00,201.00
2013-09-30,26,4997.00,982122.00,200.00,193.00,198.00
2013-10-01,11,534.00,103848.00,198.00,194.00,198.00
2013-10-02,2,42.00,8288.00,200.00,196.00,196.00
2013-10-03,2,56.00,10864.00,194.00,194.00,194.00
2013-10-06,3,135.00,26199.00,195.00,192.00,195.00
2013-10-07,28,1463.00,289495.00,202.00,184.00,200.00
2013-10-08,33,1366.00,275623.00,205.00,200.00,200.00
2013-10-09,12,562.00,110904.00,200.00,193.00,198.00
2013-10-10,22,1439.00,289970.00,204.00,198.00,200.00
2013-10-29,1,28.00,4676.00,167.00,167.00,167.00
2013-11-11,1,58.00,9860.00,170.00,170.00,170.00
2013-11-14,2,56.00,9352.00,167.00,167.00,167.00
2013-11-24,3,1084.00,186032.00,173.00,170.00,173.00
2013-11-26,1,10.00,1760.00,176.00,176.00,176.00
2013-12-01,5,86.00,15988.00,188.00,179.00,188.00
