Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-25,1,16.00,4800.00,300.00,300.00,300.00
2010-06-23,1,39.00,11700.00,300.00,300.00,300.00
2010-07-06,1,120.00,36720.00,306.00,306.00,306.00
2010-07-08,3,169.00,51999.00,311.00,301.00,311.00
2010-07-20,1,15.00,4650.00,310.00,310.00,310.00
2010-07-28,1,39.00,11856.00,304.00,304.00,304.00
2010-08-09,1,20.00,6080.00,304.00,304.00,304.00
2010-08-10,2,60.00,18300.00,305.00,305.00,305.00
2010-08-17,2,40.00,12160.00,304.00,304.00,304.00
2010-09-12,1,53.00,16112.00,304.00,304.00,304.00
2010-09-13,1,30.00,9120.00,304.00,304.00,304.00
2010-09-14,1,86.00,25628.00,298.00,298.00,298.00
2010-09-15,2,40.00,11800.00,295.00,295.00,295.00
2010-09-20,1,22.00,6490.00,295.00,295.00,295.00
2010-09-27,1,60.00,18000.00,300.00,300.00,300.00
2010-09-28,1,19.00,5700.00,300.00,300.00,300.00
2010-10-26,2,38.00,11510.00,305.00,300.00,300.00
2010-10-27,1,66.00,19800.00,300.00,300.00,300.00
2010-10-28,2,44.00,12980.00,295.00,295.00,295.00
2010-11-16,2,41.00,12320.00,301.00,300.00,301.00
2010-11-23,1,22.00,6622.00,301.00,301.00,301.00
2010-11-25,1,42.00,12642.00,301.00,301.00,301.00
2010-11-29,2,3099.00,932799.00,301.00,301.00,301.00
2010-12-01,1,341.00,102641.00,301.00,301.00,301.00
2010-12-28,2,44.00,13508.00,307.00,307.00,307.00
2010-12-29,2,64.00,19648.00,307.00,307.00,307.00
2011-01-02,1,100.00,31300.00,313.00,313.00,313.00
2011-01-04,5,2702.00,845726.00,313.00,313.00,313.00
2011-01-05,1,18.00,5634.00,313.00,313.00,313.00
2011-01-09,2,44.00,13772.00,313.00,313.00,313.00
2011-01-20,1,20.00,6140.00,307.00,307.00,307.00
2011-02-03,7,148.00,46324.00,313.00,313.00,313.00
2011-02-10,2,84.00,26292.00,313.00,313.00,313.00
2011-02-15,1,22.00,7018.00,319.00,319.00,319.00
2011-02-16,8,158.00,51350.00,325.00,325.00,325.00
2011-02-21,1,12.00,3972.00,331.00,331.00,331.00
2011-03-01,1,22.00,7414.00,337.00,337.00,337.00
2011-03-09,2,44.00,13112.00,298.00,298.00,298.00
2011-03-17,1,30.00,9000.00,300.00,300.00,300.00
2011-04-10,2,132.00,39732.00,301.00,301.00,301.00
2011-04-27,1,60.00,18420.00,307.00,307.00,307.00
