Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-21,2,150.00,105000.00,700.00,700.00,700.00
2010-04-29,2,30.00,21700.00,730.00,720.00,730.00
2010-04-15,1,30.00,21000.00,700.00,700.00,700.00
2010-06-08,2,615.00,432304.00,716.00,702.00,702.00
2010-08-05,1,30.00,21060.00,702.00,702.00,702.00
2010-08-23,1,30.00,21060.00,702.00,702.00,702.00
2010-09-14,3,131.00,88529.00,688.00,662.00,662.00
2010-10-07,1,18.00,11682.00,649.00,649.00,649.00
2010-10-10,1,120.00,76440.00,637.00,637.00,637.00
2010-10-11,6,180.00,112680.00,626.00,626.00,626.00
2010-12-08,2,200.00,104900.00,534.00,524.00,524.00
2010-12-09,2,20.00,10180.00,514.00,504.00,504.00
2010-12-13,2,30.00,14640.00,494.00,485.00,485.00
2011-01-12,2,34.00,16058.00,476.00,467.00,467.00
2011-01-13,1,38.00,17404.00,458.00,458.00,458.00
2011-02-08,1,10.00,4670.00,467.00,467.00,467.00
2011-02-09,3,40.00,19490.00,494.00,476.00,494.00
2011-02-10,2,104.00,49630.00,485.00,476.00,476.00
2011-03-14,2,33.00,15204.00,467.00,458.00,458.00
2011-04-05,1,973.00,436877.00,449.00,449.00,449.00
2011-04-25,3,137.00,60417.00,441.00,441.00,441.00
2011-05-10,2,71.00,30343.00,433.00,425.00,425.00
2011-05-18,1,10.00,4170.00,417.00,417.00,417.00
2011-05-25,1,104.00,42848.00,412.00,412.00,412.00
2011-06-01,2,20.00,8000.00,404.00,396.00,396.00
2011-06-07,2,20.00,7710.00,389.00,382.00,382.00
2011-08-01,3,103.00,39171.00,389.00,375.00,375.00
2011-08-10,2,201.00,73331.00,368.00,361.00,361.00
2011-08-22,5,127.00,43663.00,354.00,341.00,341.00
2011-08-23,4,177.00,57507.00,335.00,317.00,317.00
2011-08-24,3,81.00,25191.00,311.00,311.00,311.00
2011-09-14,5,1865.00,548230.00,305.00,284.00,284.00
2011-09-15,9,210.00,57888.00,279.00,273.00,273.00
2011-09-18,1,34.00,9112.00,268.00,268.00,268.00
2011-10-16,12,736.00,180572.00,263.00,242.00,242.00
2011-10-17,15,1337.00,315559.00,238.00,233.00,237.00
2010-04-15,1,30.00,21000.00,700.00,700.00,700.00
2010-04-15,1,30.00,21000.00,700.00,700.00,700.00
2011-11-29,1,30.00,6060.00,202.00,202.00,202.00
2011-11-30,1,3952.00,790400.00,200.00,200.00,200.00
2011-12-13,1,142.00,28542.00,201.00,201.00,201.00
2011-12-29,1,34.00,6698.00,197.00,197.00,197.00
2012-01-01,2,105.00,20190.00,194.00,191.00,191.00
2012-01-02,3,130.00,24050.00,188.00,182.00,182.00
2012-01-03,3,239.00,41794.00,179.00,173.00,173.00
2012-01-04,3,293.00,50689.00,173.00,173.00,173.00
2012-01-05,1,57.00,10032.00,176.00,176.00,176.00
2012-01-08,1,44.00,7876.00,179.00,179.00,179.00
2012-01-09,6,491.00,83506.00,176.00,167.00,170.00
2012-01-11,2,60.00,10020.00,167.00,167.00,167.00
2012-01-12,1,200.00,34000.00,170.00,170.00,170.00
2012-01-16,1,186.00,31620.00,170.00,170.00,170.00
2012-01-17,2,403.00,68510.00,170.00,170.00,170.00
2012-01-23,1,39.00,6630.00,170.00,170.00,170.00
2012-01-25,1,140.00,23800.00,170.00,170.00,170.00
2012-01-26,2,125.00,21148.00,170.00,167.00,170.00
2012-01-31,2,71.00,12101.00,171.00,170.00,170.00
2012-02-01,2,149.00,24913.00,170.00,167.00,170.00
2012-02-13,1,34.00,5780.00,170.00,170.00,170.00
2012-02-14,11,847.00,142620.00,171.00,167.00,167.00
2012-02-15,2,160.00,26880.00,168.00,168.00,168.00
2012-02-23,1,17.00,2805.00,165.00,165.00,165.00
2012-02-26,1,70.00,11340.00,162.00,162.00,162.00
2012-02-27,2,120.00,19920.00,168.00,165.00,168.00
2012-03-04,6,342.00,56991.00,168.00,165.00,165.00
2012-03-12,1,413.00,69384.00,168.00,168.00,168.00
2012-03-13,1,400.00,68000.00,170.00,170.00,170.00
2012-03-14,1,27.00,4590.00,170.00,170.00,170.00
2012-03-19,3,161.00,26941.00,169.00,167.00,167.00
2012-03-20,2,180.00,30160.00,168.00,167.00,168.00
2012-03-21,3,418.00,70044.00,168.00,165.00,165.00
2012-03-25,2,290.00,49020.00,171.00,168.00,171.00
2012-03-27,3,63.00,10584.00,168.00,168.00,168.00
2012-03-28,3,536.00,90018.00,168.00,166.00,168.00
2012-04-01,1,200.00,34000.00,170.00,170.00,170.00
2012-04-02,7,300.00,50301.00,168.00,165.00,168.00
2012-04-03,1,120.00,20160.00,168.00,168.00,168.00
2012-04-04,6,754.00,126992.00,169.00,168.00,168.00
