Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2013-01-21,5,500.00,5303.00,11.00,10.20,11.00
2013-01-22,6,31400.00,370131.00,12.10,11.22,12.10
2013-01-23,130,727200.00,9630995.00,13.31,12.34,13.31
2013-01-24,91,278700.00,3523024.00,13.30,12.30,12.31
2013-01-27,9,18700.00,229570.00,12.56,12.00,12.24
2013-01-28,12,14800.00,177651.00,12.48,11.90,12.14
2013-01-30,4,2300.00,27515.00,12.63,11.90,12.63
2013-01-31,2,410.00,5076.00,12.38,12.38,12.38
2013-02-03,9,23200.00,275956.00,12.63,11.70,11.71
2013-02-04,14,36830.00,425818.00,12.26,11.50,12.26
2013-02-05,2,200.00,2527.00,12.76,12.51,12.76
2013-02-06,9,8710.00,103066.00,12.50,11.50,11.70
2013-02-07,13,41400.00,476822.00,11.77,11.49,11.77
2013-02-10,9,1910.00,22202.00,11.83,11.60,11.83
2013-02-12,16,41000.00,489777.00,12.39,11.75,12.09
2013-02-13,11,21000.00,245050.00,12.10,11.63,11.80
2013-02-14,3,2100.00,25484.00,12.44,12.04,12.44
2013-02-17,1,100.00,1269.00,12.69,12.69,12.69
2013-02-19,4,400.00,5333.00,13.73,12.94,13.73
2013-02-20,5,900.00,11794.00,13.46,12.93,13.45
2013-02-21,13,17400.00,220951.00,13.18,12.16,13.16
2013-02-24,18,30500.00,367380.00,12.90,11.86,11.91
2013-02-25,13,32600.00,390769.00,12.73,11.90,12.73
2013-02-26,9,12700.00,158511.00,13.23,12.23,13.23
2013-02-27,2,600.00,7808.00,13.23,12.97,13.23
2013-02-28,27,47100.00,563217.00,12.97,11.91,11.91
2013-03-03,12,44900.00,526439.00,12.17,11.66,12.17
2013-03-04,17,51700.00,599217.00,12.05,11.53,12.05
2013-03-05,8,19600.00,230584.00,12.53,11.69,12.53
2013-03-07,2,300.00,3936.00,13.30,13.03,13.03
2013-03-11,1,100.00,1329.00,13.29,13.29,13.29
2013-03-13,6,600.00,7729.00,13.28,12.50,13.00
2013-03-14,70,273400.00,3204659.00,12.74,11.70,11.90
2013-03-17,12,42200.00,496353.00,11.98,11.70,11.80
2013-03-18,12,85200.00,981533.00,11.73,11.40,11.73
2013-03-19,7,36600.00,430165.00,11.85,11.70,11.76
2013-03-21,11,538950.00,6200042.00,11.73,11.50,11.69
2013-03-24,10,39410.00,456781.00,11.80,11.50,11.59
2013-03-25,10,76900.00,890665.00,11.65,11.50,11.65
2013-03-27,3,2600.00,30174.00,11.69,11.60,11.61
2013-04-01,7,26000.00,299410.00,11.60,11.45,11.60
2013-04-03,14,117500.00,1354350.00,11.65,11.50,11.52
2013-04-04,8,49820.00,572538.00,11.51,11.42,11.51
2013-04-07,12,121600.00,1398946.00,11.60,11.50,11.60
2013-04-08,9,141900.00,1628985.00,11.60,11.41,11.50
2013-04-11,7,16500.00,191666.00,11.65,11.55,11.60
2013-04-15,5,34000.00,399090.00,11.90,11.70,11.76
2013-04-16,9,15000.00,174050.00,11.72,11.50,11.59
2013-04-17,13,89700.00,1035604.00,11.60,11.50,11.60
2013-04-18,9,40100.00,464505.00,11.60,11.55,11.60
2013-04-21,10,56000.00,644770.00,11.60,11.50,11.50
2013-04-22,5,25200.00,287602.00,11.51,11.39,11.49
2013-04-23,8,14300.00,164285.00,11.50,11.47,11.50
2013-04-25,4,39000.00,440360.00,11.35,11.27,11.34
2013-04-28,4,3400.00,38650.00,11.40,11.35,11.35
2013-04-29,4,11400.00,129490.00,11.45,11.20,11.45
2013-05-02,9,21110.00,237718.00,11.35,11.25,11.25
2013-05-05,12,31050.00,344521.00,11.20,11.00,11.00
2013-05-06,4,13010.00,143110.00,11.00,11.00,11.00
2013-05-07,9,25070.00,276520.00,11.10,11.00,11.06
2013-05-08,1,2510.00,27761.00,11.06,11.06,11.06
2013-05-09,6,36000.00,399575.00,11.15,11.07,11.15
2013-05-13,2,2100.00,23310.00,11.10,11.10,11.10
2013-05-14,4,16000.00,175750.00,11.00,10.95,11.00
2013-05-16,2,7800.00,86050.00,11.05,11.00,11.05
2013-05-19,1,4000.00,43600.00,10.90,10.90,10.90
2013-05-21,11,40100.00,429940.00,11.00,10.67,10.90
2013-05-23,9,25100.00,269020.00,10.90,10.70,10.75
2013-05-26,4,15500.00,165575.00,10.75,10.61,10.65
2013-05-27,5,11000.00,116705.00,10.65,10.54,10.62
2013-05-28,1,6000.00,63060.00,10.51,10.51,10.51
2013-05-30,3,6700.00,71105.00,10.65,10.60,10.60
2013-06-02,4,10100.00,107720.00,10.78,10.57,10.57
2013-06-03,1,6000.00,63900.00,10.65,10.65,10.65
2013-06-04,5,7000.00,73510.00,10.63,10.45,10.45
2013-06-05,1,600.00,6300.00,10.50,10.50,10.50
2013-06-06,11,33900.00,356203.00,10.55,10.50,10.50
2013-06-09,1,4000.00,41240.00,10.31,10.31,10.31
2013-06-10,2,6910.00,71730.00,10.40,10.33,10.40
2013-06-11,2,1000.00,10500.00,10.50,10.50,10.50
2013-06-12,5,6320.00,65686.00,10.40,10.35,10.35
2013-06-13,5,11000.00,113110.00,10.30,10.27,10.30
2013-06-16,3,5300.00,54644.00,10.33,10.30,10.33
2013-06-17,2,3000.00,30720.00,10.24,10.24,10.24
2013-06-18,2,2510.00,25728.00,10.25,10.25,10.25
2013-06-19,7,17200.00,174430.00,10.15,10.13,10.14
2013-06-20,9,44500.00,448247.00,10.10,10.05,10.05
2013-06-23,5,18500.00,186750.00,10.12,10.00,10.00
2013-06-24,1,2500.00,25250.00,10.10,10.10,10.10
2013-06-25,5,10000.00,101850.00,10.40,10.00,10.40
2013-06-27,4,16510.00,168453.00,10.34,10.15,10.20
2013-06-30,1,2500.00,25100.00,10.04,10.04,10.04
2013-07-02,14,37420.00,377824.00,10.12,10.08,10.11
2013-07-03,17,66100.00,663610.00,10.20,10.00,10.20
2013-07-04,4,5100.00,52235.00,10.26,10.20,10.26
2013-07-07,1,5000.00,50250.00,10.05,10.05,10.05
2013-07-08,4,6510.00,66728.00,10.25,10.25,10.25
2013-07-09,1,1600.00,16400.00,10.25,10.25,10.25
2013-07-10,1,3000.00,30600.00,10.20,10.20,10.20
2013-07-14,1,2600.00,26182.00,10.07,10.07,10.07
2013-07-15,6,1700.00,17717.00,11.04,10.27,11.04
2013-07-16,1,2000.00,21640.00,10.82,10.82,10.82
2013-07-17,1,2000.00,21200.00,10.60,10.60,10.60
2013-07-18,2,7000.00,73620.00,10.56,10.50,10.56
2013-07-21,7,8700.00,92326.00,11.42,10.55,11.42
2013-07-31,2,5500.00,60445.00,11.19,10.97,10.97
2013-08-01,4,11010.00,116385.00,10.75,10.45,10.45
2013-08-04,6,16000.00,169146.00,10.91,10.49,10.49
2013-08-06,2,25000.00,262500.00,10.50,10.50,10.50
2013-08-07,7,18500.00,192538.00,10.50,10.29,10.47
2013-08-08,1,500.00,5275.00,10.55,10.55,10.55
2013-08-12,3,42600.00,447810.00,10.60,10.50,10.60
2013-08-13,8,21900.00,228577.00,10.51,10.39,10.50
2013-08-14,4,14220.00,150651.00,10.65,10.55,10.65
2013-08-18,1,35100.00,368550.00,10.50,10.50,10.50
2013-08-19,8,37900.00,399075.00,10.55,10.51,10.55
2013-08-20,5,30600.00,324080.00,10.60,10.55,10.60
2013-08-26,3,2200.00,23330.00,10.70,10.55,10.70
2013-08-27,2,15000.00,159150.00,10.63,10.60,10.60
2013-08-29,4,39000.00,419790.00,10.81,10.62,10.65
2013-09-01,2,12220.00,131749.00,10.86,10.70,10.70
2013-09-02,4,21500.00,228575.00,10.79,10.60,10.79
2013-09-03,2,5100.00,54579.00,10.79,10.70,10.70
2013-09-04,6,9800.00,105100.00,10.80,10.70,10.70
2013-09-05,5,10550.00,112630.00,10.70,10.60,10.60
2013-09-08,1,10000.00,105000.00,10.50,10.50,10.50
2013-09-09,3,41000.00,431310.00,10.81,10.50,10.81
2013-09-10,5,25700.00,273720.00,10.70,10.60,10.60
2013-09-11,3,15000.00,157750.00,10.55,10.50,10.55
2013-09-12,2,41700.00,433680.00,10.40,10.40,10.40
2013-09-15,9,45000.00,468000.00,10.40,10.40,10.40
2013-09-16,1,500.00,5250.00,10.50,10.50,10.50
2013-09-17,15,210500.00,2195350.00,10.50,10.30,10.40
2013-09-19,4,6600.00,68281.00,10.36,10.30,10.35
2013-09-22,1,5000.00,52000.00,10.40,10.40,10.40
2013-09-23,5,42000.00,427800.00,10.40,10.16,10.16
2013-09-24,2,22000.00,222600.00,10.30,10.10,10.10
2013-09-25,3,3100.00,32380.00,10.50,10.30,10.40
2013-09-26,2,51500.00,533325.00,10.55,10.35,10.55
2013-09-29,2,1500.00,15510.00,10.34,10.34,10.34
2013-09-30,2,3100.00,31763.00,10.25,10.13,10.25
2013-10-01,4,1600.00,16480.00,10.30,10.30,10.30
2013-10-02,5,5500.00,56495.00,10.30,10.25,10.30
2013-10-03,1,1100.00,11220.00,10.20,10.20,10.20
2013-10-06,1,40000.00,400000.00,10.00,10.00,10.00
2013-10-09,2,29000.00,296700.00,10.30,10.20,10.30
2013-10-21,1,1500.00,15315.00,10.21,10.21,10.21
2013-10-22,9,21000.00,217840.00,10.40,10.30,10.38
2013-10-23,8,42000.00,435238.00,10.45,10.35,10.35
2013-10-24,1,27600.00,287040.00,10.40,10.40,10.40
2013-10-27,5,4600.00,47465.00,10.35,10.20,10.32
2013-10-28,2,7000.00,72300.00,10.40,10.30,10.40
2013-10-29,8,91000.00,942710.00,10.61,10.30,10.31
2013-10-30,3,210000.00,2174500.00,10.40,10.35,10.40
2013-10-31,10,45020.00,471610.00,10.50,10.45,10.50
2013-11-06,3,13610.00,142405.00,10.50,10.45,10.50
2013-11-07,5,12600.00,132300.00,10.50,10.50,10.50
2013-11-10,3,33000.00,349880.00,10.81,10.55,10.81
2013-11-11,1,600.00,6366.00,10.61,10.61,10.61
2013-11-12,9,710210.00,7813844.00,11.22,10.82,11.05
2013-11-13,2,17000.00,190400.00,11.20,11.20,11.20
2013-11-14,2,221000.00,2486420.00,11.42,11.25,11.42
2013-11-24,3,7500.00,86340.00,11.88,11.42,11.88
2013-11-25,10,39100.00,458146.00,11.73,11.64,11.70
2013-11-26,6,10800.00,128680.00,11.95,11.90,11.90
2013-11-27,5,13300.00,155640.00,11.80,11.70,11.70
2013-11-28,3,7610.00,86343.00,11.50,11.30,11.35
2013-12-01,3,36000.00,415800.00,11.55,11.55,11.55
2013-12-02,7,24750.00,292805.00,12.00,11.65,12.00
2013-12-03,8,90100.00,1072615.00,12.01,11.85,11.99
2013-12-04,10,108000.00,1314976.00,12.43,11.96,12.15
2013-12-05,14,142510.00,1781398.00,12.75,12.30,12.75
2013-12-08,8,34500.00,426125.00,12.50,12.20,12.25
2013-12-09,14,124000.00,1523845.00,12.41,12.20,12.20
2013-12-10,16,217500.00,2654140.00,12.30,12.01,12.01
2013-12-11,8,76000.00,926250.00,12.25,12.10,12.10
2013-12-12,1,10000.00,120500.00,12.05,12.05,12.05
2013-12-15,2,301000.00,3612000.00,12.00,12.00,12.00
2013-12-18,1,10000.00,122400.00,12.24,12.24,12.24
2013-12-22,7,116900.00,1503895.00,13.00,12.48,13.00
2013-12-23,10,84300.00,1065670.00,12.90,12.45,12.70
2013-12-24,4,17000.00,216150.00,12.95,12.45,12.70
2013-12-26,1,550.00,7013.00,12.75,12.75,12.75
2013-12-29,5,15000.00,191260.00,12.76,12.75,12.76
2013-12-31,13,109800.00,1411350.00,13.00,12.74,12.99
2014-01-01,6,34600.00,442230.00,12.90,12.70,12.70
2014-01-02,7,72100.00,937039.00,13.09,12.70,13.00
2014-01-05,8,49300.00,630055.00,12.90,12.74,12.90
2014-01-06,9,29900.00,388850.00,13.05,12.99,13.00
2014-01-07,11,77600.00,990456.00,12.98,12.54,12.81
2014-01-09,1,1500.00,18900.00,12.60,12.60,12.60
2014-01-08,6,22600.00,285085.00,12.85,12.60,12.85
2014-01-12,7,24820.00,314083.00,12.82,12.40,12.82
2014-01-13,5,22400.00,286705.00,12.85,12.75,12.85
2014-01-16,11,104000.00,1343000.00,13.00,12.80,13.00
2014-01-14,3,42400.00,551200.00,13.00,13.00,13.00
2014-01-19,1,5000.00,65000.00,13.00,13.00,13.00
2014-01-20,1,500.00,6400.00,12.80,12.80,12.80
2014-01-21,1,20000.00,255000.00,12.75,12.75,12.75
2014-01-23,5,24600.00,308000.00,12.60,12.50,12.60
2014-01-22,7,69400.00,884336.00,12.75,12.70,12.75
2014-01-26,3,21400.00,271140.00,12.70,12.60,12.70
2014-01-27,3,1530.00,19176.00,12.60,12.50,12.50
2014-01-28,4,33400.00,427950.00,13.00,12.75,13.00
2014-02-02,6,18000.00,228750.00,12.85,12.70,12.70
2014-01-29,7,5500.00,71585.00,13.05,13.00,13.05
2014-02-03,2,10000.00,127000.00,12.70,12.70,12.70
2014-02-04,3,5600.00,71060.00,12.70,12.60,12.70
2014-02-05,2,20000.00,259000.00,12.95,12.95,12.95
2014-02-06,1,500.00,6500.00,13.00,13.00,13.00
2014-02-09,2,3000.00,38500.00,13.00,12.75,13.00
2014-02-10,3,1700.00,21726.00,12.78,12.78,12.78
2014-02-12,2,9300.00,120435.00,12.95,12.95,12.95
2014-02-13,5,213000.00,2769300.00,13.20,13.00,13.20
2014-02-16,4,209000.00,2716750.00,13.00,12.95,13.00
2014-02-17,8,30400.00,395100.00,13.00,12.80,12.80
2014-02-18,3,20200.00,262600.00,13.00,13.00,13.00
2014-02-20,2,12000.00,155900.00,13.00,12.90,13.00
2014-02-23,6,75500.00,993625.00,13.20,13.05,13.05
2014-02-24,8,58600.00,768330.00,13.20,13.05,13.17
2014-02-25,13,137010.00,1784308.00,13.17,13.00,13.00
2014-02-26,2,8000.00,104250.00,13.05,13.00,13.00
2014-03-04,2,251600.00,3270480.00,13.00,12.80,12.80
2014-03-05,4,18000.00,234000.00,13.00,13.00,13.00
2014-03-06,8,185000.00,2404750.00,13.00,12.90,13.00
2014-03-09,9,52900.00,687825.00,13.05,13.00,13.00
2014-03-10,5,34500.00,446430.00,13.00,12.91,12.91
2014-03-11,6,199120.00,2563848.00,13.00,12.80,12.80
2014-03-12,5,2810.00,35754.00,12.90,12.61,12.61
2014-03-13,2,2600.00,33306.00,12.81,12.81,12.81
2014-03-17,1,7000.00,89600.00,12.80,12.80,12.80
2014-03-19,6,17700.00,224555.00,12.71,12.65,12.71
2014-03-20,2,6000.00,77000.00,12.85,12.80,12.85
2014-03-23,2,9900.00,124740.00,12.60,12.60,12.60
2014-03-24,1,3000.00,37530.00,12.51,12.51,12.51
2014-03-25,3,10200.00,128470.00,12.60,12.55,12.60
2014-03-26,1,1000.00,12650.00,12.65,12.65,12.65
2014-03-27,5,13700.00,173490.00,12.70,12.60,12.70
2014-04-01,2,17500.00,220300.00,12.60,12.50,12.60
2014-04-02,3,12000.00,152525.00,12.80,12.60,12.80
2014-04-03,1,8000.00,102400.00,12.80,12.80,12.80
2014-04-06,3,31000.00,396450.00,12.80,12.75,12.75
2014-04-07,1,1000.00,12600.00,12.60,12.60,12.60
2014-04-09,1,5000.00,62500.00,12.50,12.50,12.50
2014-04-13,1,500.00,6375.00,12.75,12.75,12.75
2014-04-15,5,31000.00,400940.00,13.00,12.90,12.99
2014-04-16,5,12920.00,168260.00,13.10,12.90,12.95
2014-04-17,1,50000.00,635000.00,12.70,12.70,12.70
2014-04-20,7,103200.00,1310140.00,12.70,12.60,12.60
2014-04-21,7,32800.00,411741.00,12.63,12.54,12.55
2014-04-27,6,130200.00,1637240.00,12.80,12.50,12.50
2014-04-29,2,1000.00,12525.00,12.53,12.52,12.53
2014-04-30,6,49600.00,624166.00,12.75,12.50,12.60
2014-05-04,1,5000.00,63000.00,12.60,12.60,12.60
2014-05-05,2,10500.00,136425.00,13.00,12.85,13.00
2014-05-06,5,39900.00,518100.00,13.00,12.80,13.00
2014-05-07,3,10250.00,133300.00,13.01,13.00,13.00
2014-05-08,1,2000.00,26000.00,13.00,13.00,13.00
2014-05-11,3,13600.00,175830.00,13.05,12.90,12.90
2014-05-12,2,11000.00,142900.00,13.10,12.90,12.90
2014-05-13,3,14900.00,190820.00,12.82,12.80,12.80
2014-05-18,2,7100.00,91175.00,12.85,12.82,12.85
2014-05-19,5,459200.00,5933080.00,13.00,12.85,13.00
2014-05-20,8,37800.00,488140.00,13.10,12.80,13.00
2014-05-21,5,11300.00,146900.00,13.00,13.00,13.00
2014-05-25,5,27510.00,357630.00,13.00,13.00,13.00
2014-05-27,6,208000.00,2705030.00,13.26,13.00,13.00
2014-05-28,9,41100.00,548530.00,13.55,13.10,13.31
2014-06-01,4,112000.00,1512830.00,13.58,13.45,13.50
2014-06-02,3,6000.00,82180.00,13.77,13.57,13.57
2014-06-03,14,304700.00,4288164.00,14.40,13.57,13.97
2014-06-08,1,1000.00,14400.00,14.40,14.40,14.40
2014-06-05,3,7000.00,99770.00,14.46,14.17,14.17
2014-06-04,4,18700.00,260840.00,14.18,13.90,14.18
2014-06-09,8,230000.00,3306000.00,14.50,14.21,14.21
2014-06-10,25,606830.00,8693701.80,14.59,14.25,14.41
2014-06-11,6,48500.00,706400.00,14.60,14.50,14.60
2014-06-12,4,507000.00,7377430.00,14.84,14.55,14.55
2014-06-18,4,16600.00,246775.00,14.97,14.80,14.70
2014-06-17,8,58900.00,870984.00,14.85,14.70,0.00
2014-06-16,5,80000.00,1190900.00,15.05,14.60,14.90
2014-06-15,13,91310.00,1348244.00,14.99,14.60,14.90
2014-06-23,7,622500.00,9103050.00,14.80,14.36,14.65
2014-06-19,12,1043600.00,15299270.00,14.94,14.55,14.80
2014-06-24,5,516300.00,7424180.00,14.70,14.37,14.70
2014-06-25,7,155000.00,2247050.00,14.85,14.40,14.65
2014-06-26,6,82500.00,1211715.00,14.95,14.50,14.90
