Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,72,820.00,113160.00,138.00,138.00,138.00
2010-04-20,30,860.00,119220.00,140.00,136.00,140.00
2010-04-21,155,2600.00,362480.00,142.00,138.00,138.00
2010-04-22,119,1300.00,181260.00,140.00,138.00,140.00
2010-04-25,216,2380.00,331220.00,140.00,138.00,138.00
2010-04-26,14,840.00,112240.00,139.00,130.00,130.00
2010-04-27,6,150.00,19460.00,130.00,128.00,128.00
2010-04-28,9,90.00,11320.00,126.00,124.00,124.00
2010-05-09,19,190.00,23560.00,124.00,124.00,124.00
2010-05-10,58,1010.00,123220.00,122.00,122.00,122.00
2010-05-11,4,600.00,72800.00,122.00,120.00,122.00
2010-05-13,30,330.00,40840.00,124.00,122.00,122.00
2010-05-16,10,100.00,12400.00,124.00,124.00,124.00
2010-05-17,1,10.00,1220.00,122.00,122.00,122.00
2010-06-02,23,410.00,49910.00,124.00,120.00,124.00
2010-06-08,3,30.00,3800.00,128.00,126.00,128.00
2010-06-09,4,40.00,5200.00,130.00,130.00,130.00
2010-06-10,1,20.00,2600.00,130.00,130.00,130.00
2010-06-14,1,20.00,2600.00,130.00,130.00,130.00
2010-06-15,1,10.00,1320.00,132.00,132.00,132.00
2010-06-16,26,310.00,43900.00,144.00,134.00,144.00
2010-06-20,3,40.00,5680.00,142.00,142.00,142.00
2010-06-21,2,70.00,9800.00,140.00,140.00,140.00
2010-06-24,10,200.00,28000.00,140.00,140.00,140.00
2010-06-28,2,60.00,8280.00,138.00,138.00,138.00
2010-06-29,14,180.00,25360.00,142.00,140.00,142.00
2010-06-30,16,280.00,39200.00,140.00,140.00,140.00
2010-07-01,12,240.00,33600.00,140.00,140.00,140.00
2010-07-04,15,180.00,24660.00,138.00,136.00,137.00
2010-07-05,3,110.00,14760.00,136.00,134.00,134.00
2010-07-07,5,130.00,17090.00,133.00,130.00,130.00
2010-07-08,4,80.00,10320.00,129.00,129.00,129.00
2010-07-11,20,200.00,25800.00,129.00,129.00,129.00
2010-07-12,24,240.00,30960.00,129.00,129.00,129.00
2010-07-13,63,840.00,110100.00,133.00,131.00,133.00
2010-07-15,14,210.00,27930.00,133.00,133.00,133.00
2010-07-19,51,720.00,95760.00,133.00,133.00,133.00
2010-07-20,15,160.00,21280.00,133.00,133.00,133.00
2010-07-21,1,70.00,9450.00,135.00,135.00,135.00
2010-07-22,129,1290.00,174150.00,135.00,135.00,135.00
2010-08-01,20,200.00,27000.00,135.00,135.00,135.00
2010-08-08,7,70.00,9450.00,135.00,135.00,135.00
2010-08-12,44,870.00,113350.00,134.00,125.00,125.00
2010-08-16,20,220.00,27500.00,125.00,125.00,125.00
2010-08-17,1,30.00,3750.00,125.00,125.00,125.00
2010-08-18,25,780.00,98460.00,127.00,125.00,126.00
2010-08-26,1,300.00,37800.00,126.00,126.00,126.00
2010-08-31,1,10.00,1250.00,125.00,125.00,125.00
2010-09-02,2,150.00,18390.00,123.00,121.00,121.00
2010-09-13,6,90.00,10510.00,119.00,116.00,116.00
2010-09-19,27,270.00,29960.00,114.00,110.00,110.00
2010-09-21,16,160.00,17390.00,110.00,108.00,109.00
2010-09-23,1,10.00,1100.00,110.00,110.00,110.00
2010-09-26,8,130.00,14580.00,114.00,112.00,114.00
2010-09-28,1,10.00,1160.00,116.00,116.00,116.00
2010-09-30,9,150.00,17760.00,122.00,118.00,122.00
2010-10-03,12,210.00,25620.00,122.00,122.00,122.00
2010-10-06,13,140.00,17920.00,128.00,128.00,128.00
2010-10-07,5,80.00,10600.00,133.00,130.00,133.00
2010-10-10,1,10.00,1350.00,135.00,135.00,135.00
2010-10-11,1,30.00,3990.00,133.00,133.00,133.00
2010-10-12,1,20.00,2620.00,131.00,131.00,131.00
2010-10-13,1,10.00,1310.00,131.00,131.00,131.00
2010-11-09,2,20.00,2580.00,129.00,129.00,129.00
2010-11-10,8,150.00,19520.00,132.00,130.00,130.00
