Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2012-07-18,12,432.00,80604.00,193.00,169.00,172.00
2012-07-19,42,5047.00,902535.00,189.00,173.00,189.00
2012-07-22,24,1072.00,204703.00,195.00,189.00,190.00
2012-07-23,12,2684.00,511710.00,194.00,189.00,190.00
2012-07-24,37,2921.00,534391.00,192.00,180.00,192.00
2012-07-25,58,5792.00,1052695.00,190.00,180.00,180.00
2012-07-26,30,1923.00,346170.00,183.00,180.00,180.00
2012-07-29,1,69.00,12282.00,178.00,178.00,178.00
2012-07-30,10,1278.00,220054.00,180.00,169.00,180.00
2012-07-31,4,413.00,74232.00,180.00,177.00,180.00
2012-08-01,4,734.00,130796.00,180.00,177.00,180.00
2012-08-05,10,532.00,95646.00,183.00,178.00,179.00
2012-08-06,2,400.00,71393.00,179.00,176.00,176.00
2012-08-07,1,165.00,28710.00,174.00,174.00,174.00
2012-08-08,1,165.00,29205.00,177.00,177.00,177.00
2012-08-12,3,50.00,8580.00,174.00,168.00,168.00
2012-08-13,14,2104.00,349503.00,174.00,165.00,174.00
2012-08-14,5,96.00,16383.00,171.00,170.00,171.00
2012-08-15,1,36.00,6048.00,168.00,168.00,168.00
2012-08-16,1,69.00,11592.00,168.00,168.00,168.00
2012-08-19,1,36.00,6156.00,171.00,171.00,171.00
2012-08-21,6,754.00,129409.00,174.00,171.00,172.00
2012-08-23,19,866.00,151289.00,175.00,172.00,175.00
2012-08-26,8,1045.00,179741.00,173.00,171.00,173.00
2012-08-27,15,2105.00,369120.00,180.00,174.00,177.00
2012-08-28,9,503.00,90674.00,183.00,177.00,182.00
2012-08-29,3,251.00,46184.00,184.00,184.00,184.00
2012-09-02,4,593.00,110360.00,187.00,185.00,187.00
2012-09-03,30,2308.00,429845.00,188.00,185.00,188.00
2012-09-04,2,76.00,14030.00,185.00,182.00,182.00
2012-09-05,1,50.00,8950.00,179.00,179.00,179.00
2012-09-06,6,176.00,32062.00,185.00,182.00,185.00
2012-09-12,2,20.00,3610.00,182.00,179.00,179.00
2012-09-13,21,3260.00,591854.00,186.00,176.00,183.00
2012-09-16,2,330.00,58905.00,180.00,177.00,177.00
2012-09-17,18,1873.00,335247.00,187.00,177.00,187.00
2012-09-18,9,1152.00,230381.00,205.00,190.00,205.00
2012-09-19,7,233.00,50552.00,221.00,209.00,216.00
2012-09-20,7,328.00,67141.00,215.00,200.00,200.00
2012-09-23,2,390.00,76995.00,198.00,197.00,198.00
2012-09-26,4,71.00,13590.00,195.00,189.00,189.00
2012-09-30,2,40.00,7480.00,187.00,187.00,187.00
2012-10-01,37,1847.00,336911.00,185.00,177.00,180.00
2012-10-03,2,79.00,14457.00,183.00,183.00,183.00
2012-10-04,8,1085.00,201840.00,189.00,186.00,189.00
2012-10-07,9,2089.00,397362.00,193.00,190.00,192.00
2012-10-08,8,1421.00,283284.00,205.00,195.00,201.00
2012-10-09,6,429.00,87815.00,208.00,204.00,204.00
2012-10-10,2,2039.00,407932.00,204.00,200.00,204.00
2012-10-11,6,1979.00,404519.00,208.00,204.00,207.00
2012-10-14,3,377.00,78416.00,208.00,208.00,208.00
2012-10-15,8,327.00,69832.00,216.00,210.00,210.00
2012-10-17,1,225.00,47700.00,212.00,212.00,212.00
2012-10-18,3,557.00,116659.00,212.00,209.00,209.00
2012-11-12,6,166.00,36320.00,224.00,213.00,224.00
2012-11-18,2,86.00,19752.00,232.00,228.00,232.00
2012-11-20,2,70.00,16280.00,236.00,232.00,232.00
2012-11-22,4,158.00,37528.00,240.00,236.00,236.00
2012-11-26,1,138.00,32016.00,232.00,232.00,232.00
2012-11-27,3,331.00,74464.00,228.00,224.00,224.00
2012-11-28,2,50.00,11000.00,220.00,220.00,220.00
2012-12-09,1,36.00,7776.00,216.00,216.00,216.00
2012-12-11,2,73.00,15364.00,212.00,210.00,210.00
2012-12-19,5,829.00,181531.00,222.00,214.00,219.00
2012-12-20,3,60.00,13620.00,231.00,223.00,231.00
2013-02-07,8,159.00,34349.00,227.00,211.00,211.00
2013-02-10,2,86.00,17510.00,207.00,203.00,203.00
2013-02-13,2,50.00,9950.00,199.00,199.00,199.00
2013-02-14,3,102.00,19794.00,196.00,193.00,193.00
2013-02-19,1,10.00,1900.00,190.00,190.00,190.00
2013-02-20,1,10.00,1870.00,187.00,187.00,187.00
2013-02-21,1,10.00,1840.00,184.00,184.00,184.00
2013-02-24,6,154.00,27322.00,181.00,175.00,175.00
2013-03-03,1,17.00,2924.00,172.00,172.00,172.00
2013-03-04,1,10.00,1690.00,169.00,169.00,169.00
2013-03-05,2,338.00,58643.00,175.00,172.00,175.00
2013-03-25,2,254.00,46431.00,183.00,180.00,183.00
2013-03-28,1,69.00,12420.00,180.00,180.00,180.00
2013-04-04,1,17.00,3026.00,178.00,178.00,178.00
2013-04-22,3,1029.00,188343.00,184.00,181.00,181.00
2013-04-25,19,9203.00,1752521.00,193.00,184.00,193.00
2013-04-28,3,78.00,15054.00,193.00,193.00,193.00
2013-04-29,4,2036.00,400340.00,199.00,193.00,199.00
2013-04-30,11,516.00,100190.00,196.00,194.00,194.00
