Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-19,1,20.00,8580.00,429.00,429.00,429.00
2010-05-30,7,200.00,81604.00,421.00,400.00,400.00
2010-05-31,1,30.00,11760.00,392.00,392.00,392.00
2010-06-01,1,430.00,165550.00,385.00,385.00,385.00
2010-06-06,30,900.00,346500.00,385.00,385.00,385.00
2010-06-22,1,20.00,7600.00,380.00,380.00,380.00
2010-06-23,1,20.00,7460.00,373.00,373.00,373.00
2010-06-28,1,20.00,7320.00,366.00,366.00,366.00
2010-06-29,2,588.00,211092.00,359.00,359.00,359.00
2010-07-01,1,20.00,7040.00,352.00,352.00,352.00
2010-07-04,1,142.00,48990.00,345.00,345.00,345.00
2010-07-07,5,204.00,67188.00,339.00,315.00,315.00
2010-07-21,38,2400.00,755580.00,315.00,309.00,315.00
2010-08-01,11,2672.00,792216.00,309.00,296.00,296.00
2010-08-05,2,4140.00,1184100.00,291.00,286.00,286.00
2010-08-08,2,1350.00,372750.00,281.00,276.00,276.00
2010-08-09,7,4036.00,1066946.00,271.00,251.00,256.00
2010-08-10,14,1761.00,416980.00,251.00,231.00,231.00
2010-08-11,7,1056.00,235768.00,227.00,215.00,215.00
2010-08-12,14,726.00,145060.00,211.00,194.00,194.00
2010-08-15,52,4579.00,854035.00,194.00,175.00,175.00
2010-08-16,30,3511.00,599855.00,175.00,166.00,173.00
2010-08-17,35,3509.00,592994.00,173.00,164.00,173.00
2010-08-18,8,588.00,100920.00,173.00,170.00,170.00
2010-08-19,11,1677.00,276338.00,172.00,161.00,163.00
2010-08-22,11,1642.00,262246.00,161.00,159.00,159.00
2010-08-23,14,1750.00,276560.00,161.00,157.00,157.00
2010-08-26,3,1292.00,206810.00,163.00,160.00,160.00
2010-08-29,13,3499.00,554973.00,163.00,157.00,160.00
2010-08-30,15,2553.00,409910.00,170.00,158.00,170.00
2010-08-31,15,1504.00,241496.00,167.00,158.00,160.00
2010-09-05,18,10430.00,1599478.00,158.00,150.00,153.00
2010-09-06,31,2656.00,399022.00,153.00,148.00,150.00
2010-09-07,17,680.00,102360.00,153.00,148.00,153.00
2010-09-08,25,1496.00,232096.00,157.00,149.00,157.00
2010-09-12,6,384.00,61800.00,163.00,160.00,163.00
2010-09-13,11,860.00,132440.00,160.00,148.00,160.00
2010-09-14,16,698.00,111698.00,161.00,158.00,161.00
2010-09-15,2,620.00,97370.00,160.00,157.00,157.00
2010-09-16,13,2557.00,385623.00,154.00,148.00,151.00
2010-09-19,19,3231.00,482581.00,151.00,149.00,151.00
2010-09-21,2,2764.00,410600.00,150.00,148.00,150.00
2010-09-23,1,148.00,22644.00,153.00,153.00,153.00
2010-09-26,1,108.00,16632.00,154.00,154.00,154.00
2010-09-27,16,944.00,149716.00,162.00,154.00,162.00
2010-09-28,3,342.00,55870.00,165.00,163.00,163.00
2010-09-29,21,968.00,152783.00,163.00,154.00,157.00
2010-09-30,2,753.00,114003.00,154.00,151.00,151.00
2010-10-03,25,2947.00,448107.00,154.00,151.00,153.00
2010-10-05,64,9803.00,1497583.00,158.00,152.00,155.00
2010-10-06,26,5208.00,786344.00,158.00,150.00,151.00
2010-10-07,10,1165.00,178849.00,157.00,151.00,157.00
2010-10-10,1,10.00,1600.00,160.00,160.00,160.00
2010-10-12,13,6132.00,1011456.00,166.00,163.00,165.00
2010-10-21,46,3152.00,526168.00,169.00,165.00,169.00
2010-10-24,26,1760.00,296388.00,170.00,168.00,169.00
2010-10-25,33,2508.00,425386.00,173.00,167.00,173.00
2010-10-26,33,2591.00,448188.00,174.00,170.00,170.00
2010-10-27,26,2858.00,497334.00,175.00,173.00,175.00
2010-10-28,16,1136.00,194516.00,175.00,171.00,171.00
2010-10-31,26,1544.00,260736.00,172.00,166.00,169.00
2010-11-02,20,1332.00,227448.00,171.00,168.00,168.00
2010-11-03,5,940.00,157920.00,168.00,168.00,168.00
2010-11-09,9,440.00,75240.00,171.00,171.00,171.00
2010-11-10,1,40.00,6720.00,168.00,168.00,168.00
