Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-28,2,25.00,7525.00,301.00,301.00,301.00
2010-05-17,1,156.00,47892.00,307.00,307.00,307.00
2010-09-05,9,17751.00,5449557.00,307.00,307.00,307.00
2010-09-06,9,9498.00,2915886.00,307.00,307.00,307.00
2010-09-26,1,33.00,10329.00,313.00,313.00,313.00
2010-09-27,1,52.00,16276.00,313.00,313.00,313.00
2010-10-31,1,60.00,18420.00,307.00,307.00,307.00
2010-11-16,1,24.00,7512.00,313.00,313.00,313.00
2010-11-24,2,3676.00,1128532.00,307.00,307.00,307.00
2011-02-22,5,677.00,207839.00,307.00,307.00,307.00
2012-02-01,1,10.00,2560.00,256.00,256.00,256.00
2012-02-13,1,10.00,2610.00,261.00,261.00,261.00
2012-09-13,1,10.00,2020.00,202.00,202.00,202.00
2012-10-15,4,57.00,12102.00,218.00,206.00,218.00
2012-10-17,2,41.00,9206.00,226.00,222.00,226.00
2013-06-23,1,36.00,7524.00,209.00,209.00,209.00
2013-09-05,1,15.00,3195.00,213.00,213.00,213.00
2014-02-25,1,108.00,23436.00,217.00,217.00,217.00
2014-03-20,1,10.00,2170.00,217.00,217.00,217.00
2014-07-13,2,167.00,34028.00,204.00,200.00,204.00
2014-11-20,1,663.00,137904.00,208.00,208.00,208.00
2014-11-23,1,72.00,15264.00,212.00,212.00,212.00
2015-03-02,3,220.00,49160.00,224.00,216.00,224.00
2015-03-04,2,1420.00,333700.00,235.00,235.00,235.00
2015-04-23,2,21279.00,4468590.00,210.00,210.00,210.00
2015-05-25,5,5451.00,1199220.00,220.00,220.00,220.00
2015-07-22,5,14553.00,3259872.00,224.00,224.00,224.00
2015-09-03,1,3654.00,833112.00,228.00,228.00,228.00
2015-09-29,2,4305.00,1000736.00,236.00,232.00,236.00
2016-06-28,2,450.00,96750.00,215.00,215.00,215.00
