Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-18,2,40.00,22250.00,559.00,548.00,548.00
2010-05-23,2,150.00,82400.00,550.00,548.00,550.00
2010-05-26,1,100.00,55000.00,550.00,550.00,550.00
2010-06-03,2,120.00,64580.00,539.00,538.00,538.00
2010-06-08,4,92.00,48376.00,528.00,518.00,518.00
2010-06-09,1,24.00,12672.00,528.00,528.00,528.00
2010-06-14,1,12.00,6216.00,518.00,518.00,518.00
2010-06-22,1,20.00,10360.00,518.00,518.00,518.00
2010-06-23,5,94.00,48010.00,515.00,510.00,510.00
2010-06-24,7,260.00,128072.00,505.00,481.00,481.00
2010-06-28,14,372.00,175098.00,485.00,447.00,447.00
2010-06-29,12,192.00,85440.00,445.00,445.00,445.00
2010-07-05,5,84.00,22260.00,265.00,265.00,265.00
2010-07-21,1,24.00,6408.00,267.00,267.00,267.00
2010-07-28,1,12.00,3144.00,262.00,262.00,262.00
2010-08-03,1,10.00,2600.00,260.00,260.00,260.00
2010-08-08,1,36.00,9180.00,255.00,255.00,255.00
2010-08-18,11,302.00,77010.00,255.00,255.00,255.00
2010-08-29,2,66.00,16830.00,255.00,255.00,255.00
2010-09-06,2,24.00,6120.00,255.00,255.00,255.00
2010-09-12,3,36.00,9000.00,250.00,250.00,250.00
2010-09-14,2,136.00,34000.00,250.00,250.00,250.00
2010-09-19,4,560.00,137152.00,245.00,241.00,241.00
2010-09-20,3,552.00,129680.00,238.00,230.00,230.00
2010-09-21,3,276.00,62736.00,228.00,226.00,226.00
2010-09-23,7,84.00,19320.00,230.00,230.00,230.00
2010-09-26,3,123.00,27402.00,226.00,222.00,222.00
2010-09-27,4,116.00,25700.00,223.00,220.00,222.00
2010-09-29,2,48.00,10656.00,222.00,222.00,222.00
2010-09-30,6,144.00,32030.00,227.00,222.00,227.00
2010-10-03,2,60.00,13380.00,223.00,223.00,223.00
2010-10-06,1,48.00,10560.00,220.00,220.00,220.00
2010-10-10,1,48.00,10704.00,223.00,223.00,223.00
2010-10-11,5,155.00,35495.00,233.00,225.00,233.00
2010-10-25,2,72.00,17064.00,237.00,237.00,237.00
