Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,33,5205.00,644745.00,132.00,121.00,121.00
2010-04-20,8,705.00,89105.00,127.00,123.00,127.00
2010-04-21,9,1325.00,160100.00,125.00,118.00,120.00
2010-04-22,22,3210.00,390660.00,126.00,120.00,123.00
2010-04-25,12,2665.00,327065.00,125.00,119.00,119.00
2010-04-26,10,815.00,100875.00,125.00,121.00,125.00
2010-04-27,11,1710.00,210030.00,126.00,121.00,121.00
2010-04-28,4,650.00,80150.00,124.00,123.00,123.00
2010-04-29,5,500.00,64000.00,129.00,125.00,129.00
2010-04-15,3,415.00,57035.00,139.00,137.00,139.00
2010-05-09,1,100.00,12700.00,127.00,127.00,127.00
2010-05-10,1,100.00,12900.00,129.00,129.00,129.00
2010-05-11,1,200.00,26200.00,131.00,131.00,131.00
2010-05-12,6,1600.00,215300.00,139.00,133.00,139.00
2010-05-13,7,1225.00,174550.00,143.00,141.00,143.00
2010-05-16,8,825.00,113310.00,141.00,135.00,135.00
2010-05-17,12,290.00,37645.00,135.00,122.00,135.00
2010-05-18,7,1395.00,191960.00,140.00,137.00,138.00
2010-05-19,8,1440.00,202440.00,141.00,140.00,141.00
2010-05-20,6,1850.00,256940.00,140.00,137.00,139.00
2010-05-23,12,2215.00,306705.00,140.00,135.00,140.00
2010-05-24,4,255.00,34725.00,139.00,133.00,133.00
2010-05-25,11,1395.00,196475.00,143.00,135.00,143.00
2010-05-26,10,2270.00,319990.00,145.00,140.00,140.00
2010-05-30,9,1550.00,235300.00,154.00,142.00,154.00
2010-05-31,21,4250.00,645955.00,163.00,145.00,145.00
2010-06-01,4,450.00,63870.00,143.00,139.00,139.00
2010-06-02,5,1335.00,185095.00,139.00,137.00,137.00
2010-06-03,1,35.00,4865.00,139.00,139.00,139.00
2010-06-06,1,35.00,4935.00,141.00,141.00,141.00
2010-06-07,2,300.00,41800.00,140.00,139.00,140.00
2010-06-08,3,385.00,54570.00,142.00,140.00,140.00
2010-06-09,4,700.00,97500.00,140.00,139.00,139.00
2010-06-10,9,1288.00,181448.00,143.00,140.00,141.00
2010-06-13,1,100.00,14100.00,141.00,141.00,141.00
2010-06-14,5,745.00,103955.00,141.00,139.00,140.00
2010-06-15,2,330.00,45540.00,138.00,138.00,138.00
2010-06-16,2,105.00,14470.00,138.00,136.00,138.00
2010-06-20,5,630.00,86660.00,138.00,137.00,138.00
2010-06-22,1,100.00,13600.00,136.00,136.00,136.00
2010-06-23,1,352.00,47168.00,134.00,134.00,134.00
2010-06-30,1,125.00,16500.00,132.00,132.00,132.00
2010-07-04,2,200.00,26600.00,134.00,132.00,132.00
2010-07-05,1,100.00,13200.00,132.00,132.00,132.00
2010-07-07,7,570.00,76520.00,136.00,133.00,133.00
