Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-09,5,330.00,103950.00,321.00,303.00,303.00
2010-05-10,1,20.00,6180.00,309.00,309.00,309.00
2010-05-13,1,40.00,12120.00,303.00,303.00,303.00
2010-05-16,8,270.00,86160.00,325.00,309.00,325.00
2010-05-17,2,20.00,6320.00,319.00,313.00,313.00
2010-05-18,3,50.00,16190.00,331.00,319.00,331.00
2010-05-20,1,10.00,3370.00,337.00,337.00,337.00
2010-05-23,3,70.00,24190.00,349.00,340.00,349.00
2010-05-25,1,20.00,7100.00,355.00,355.00,355.00
2010-05-26,5,90.00,33530.00,382.00,362.00,382.00
2010-05-31,1,10.00,3750.00,375.00,375.00,375.00
2010-06-02,6,660.00,248840.00,385.00,375.00,385.00
2010-06-06,1,30.00,11760.00,392.00,392.00,392.00
2010-06-07,2,110.00,42830.00,390.00,383.00,383.00
2010-06-13,3,50.00,18800.00,376.00,376.00,376.00
2010-06-15,12,340.00,129730.00,389.00,380.00,389.00
2010-06-16,1,30.00,11490.00,383.00,383.00,383.00
2010-06-17,2,100.00,37900.00,379.00,379.00,379.00
2010-06-20,1,10.00,3720.00,372.00,372.00,372.00
2010-06-21,1,50.00,18250.00,365.00,365.00,365.00
2010-06-24,1,50.00,18600.00,372.00,372.00,372.00
2010-06-28,2,140.00,52080.00,372.00,372.00,372.00
2010-07-01,1,10.00,3650.00,365.00,365.00,365.00
2010-07-07,1,160.00,57600.00,360.00,360.00,360.00
2010-07-14,3,106.00,37018.00,353.00,348.00,348.00
2010-07-21,4,92.00,32016.00,348.00,348.00,348.00
2010-07-27,2,20.00,6900.00,348.00,342.00,348.00
2010-08-04,3,96.00,33209.00,354.00,343.00,343.00
2010-08-05,4,64.00,21202.00,337.00,325.00,325.00
2010-08-08,6,195.00,60606.00,320.00,305.00,305.00
2010-08-09,1,92.00,27600.00,300.00,300.00,300.00
2010-08-10,2,2660.00,798060.00,306.00,300.00,306.00
2010-08-11,1,1350.00,413100.00,306.00,306.00,306.00
2010-08-12,3,485.00,144969.00,300.00,295.00,299.00
2010-08-16,1,46.00,13800.00,300.00,300.00,300.00
2010-08-17,5,138.00,41262.00,306.00,294.00,294.00
2010-08-18,1,20.00,5780.00,289.00,289.00,289.00
2010-08-19,7,207.00,59823.00,289.00,289.00,289.00
2010-08-22,2,46.00,13294.00,289.00,289.00,289.00
2010-08-26,3,69.00,19251.00,284.00,274.00,274.00
2010-08-29,5,132.00,34981.00,270.00,261.00,262.00
2010-09-02,1,46.00,12190.00,265.00,265.00,265.00
2010-09-08,4,100.00,26500.00,265.00,265.00,265.00
2010-09-09,10,247.00,65909.00,267.00,266.00,267.00
2010-09-13,2,30.00,8010.00,267.00,267.00,267.00
2010-09-14,2,46.00,12282.00,267.00,267.00,267.00
2010-09-15,3,122.00,32590.00,270.00,265.00,265.00
2010-09-16,4,140.00,37431.00,270.00,267.00,267.00
2010-09-19,2,46.00,12190.00,265.00,265.00,265.00
