Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2011-03-16,14,280.00,93240.00,333.00,333.00,333.00
2011-03-29,5,60.00,18780.00,327.00,303.00,303.00
2011-03-30,4,40.00,11580.00,297.00,282.00,282.00
2011-03-31,3,30.00,8160.00,277.00,267.00,267.00
2011-04-04,3,30.00,7710.00,262.00,252.00,252.00
2011-04-05,46,520.00,120520.00,247.00,231.00,231.00
2011-04-06,5,50.00,10950.00,227.00,211.00,211.00
2011-04-07,10,100.00,20100.00,201.00,201.00,201.00
2011-04-10,8,110.00,20880.00,197.00,181.00,181.00
2011-04-11,8,80.00,13490.00,178.00,163.00,163.00
2011-04-13,6,80.00,12250.00,160.00,147.00,147.00
2011-04-17,17,170.00,23610.00,140.00,133.00,133.00
2011-04-18,25,330.00,41100.00,132.00,120.00,120.00
2011-04-19,77,770.00,83740.00,118.00,108.00,108.00
2011-04-20,210,2990.00,307490.00,106.00,99.00,103.00
2011-04-21,278,3890.00,400170.00,105.00,101.00,105.00
2011-04-25,234,2470.00,259000.00,106.00,103.00,104.00
2011-04-26,40,540.00,56140.00,104.00,103.00,104.00
2011-04-27,261,3150.00,323830.00,105.00,98.00,103.00
2011-04-28,220,2730.00,282670.00,108.00,101.00,102.00
2011-05-02,36,560.00,57940.00,104.00,102.00,102.00
2011-05-03,6,70.00,7210.00,103.00,103.00,103.00
2011-05-04,1,20.00,2100.00,105.00,105.00,105.00
2011-05-05,76,970.00,99960.00,107.00,99.00,100.00
2011-05-08,1,10.00,980.00,98.00,98.00,98.00
2011-05-10,57,1080.00,106540.00,99.00,98.00,99.00
2011-05-11,23,360.00,35180.00,99.00,96.00,97.00
2011-05-12,11,220.00,21200.00,97.00,96.00,97.00
2011-05-15,133,2170.00,214920.00,102.00,96.00,100.00
2011-05-16,14,140.00,13950.00,100.00,99.00,99.00
2011-05-18,48,970.00,95240.00,99.00,97.00,97.00
2011-05-19,308,3540.00,340150.00,100.00,93.00,100.00
2011-05-22,158,2090.00,203350.00,100.00,95.00,96.00
2011-05-23,48,560.00,55790.00,100.00,98.00,98.00
2011-05-24,27,270.00,27030.00,107.00,99.00,105.00
2011-05-25,36,360.00,38060.00,109.00,103.00,109.00
2011-05-26,30,310.00,33290.00,115.00,103.00,115.00
2011-05-30,67,1260.00,131520.00,113.00,104.00,104.00
2011-05-31,296,4690.00,492700.00,109.00,100.00,104.00
2011-06-01,49,1100.00,115000.00,105.00,103.00,105.00
2011-06-02,165,2540.00,265180.00,107.00,103.00,107.00
2011-06-05,136,1620.00,171440.00,108.00,104.00,106.00
2011-06-06,61,1200.00,127250.00,109.00,104.00,108.00
