Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-06-06,1,29.00,13137.00,453.00,453.00,453.00
2010-06-17,2,42.00,18648.00,444.00,444.00,444.00
2010-06-24,2,68.00,29224.00,436.00,428.00,428.00
2010-07-15,11,375.00,160322.00,451.00,420.00,451.00
2010-10-21,2,102.00,44660.00,442.00,434.00,434.00
2010-11-10,5,354.00,147018.00,426.00,409.00,409.00
2010-12-14,6,287.00,112612.00,401.00,379.00,379.00
2011-02-22,1,53.00,17967.00,339.00,339.00,339.00
2011-03-03,4,71.00,22168.00,323.00,306.00,306.00
2011-03-07,3,64.00,18219.00,291.00,281.00,281.00
2011-03-09,2,54.00,14769.00,276.00,271.00,271.00
2011-03-14,1,10.00,2580.00,258.00,258.00,258.00
2011-03-15,9,182.00,42911.00,246.00,233.00,234.00
2011-03-16,2,54.00,12312.00,230.00,226.00,226.00
2011-03-22,1,10.00,2220.00,222.00,222.00,222.00
2011-03-23,2,37.00,7958.00,218.00,214.00,214.00
2011-04-05,1,10.00,2040.00,204.00,204.00,204.00
2011-04-07,5,114.00,21260.00,194.00,184.00,184.00
2011-04-10,54,3013.00,520231.00,187.00,166.00,187.00
2011-04-11,27,1383.00,252566.00,195.00,177.00,180.00
2011-04-13,8,110.00,19590.00,189.00,168.00,168.00
2011-04-17,4,108.00,17820.00,165.00,165.00,165.00
2011-04-18,1,87.00,14094.00,162.00,162.00,162.00
2011-04-20,20,468.00,69357.00,154.00,146.00,146.00
2011-04-21,20,3024.00,410050.00,144.00,134.00,140.00
2011-04-26,3,81.00,11016.00,138.00,134.00,134.00
2011-04-28,6,971.00,122496.00,132.00,124.00,124.00
2011-05-02,13,629.00,77362.00,124.00,122.00,124.00
2011-05-03,1,53.00,6466.00,122.00,122.00,122.00
2011-05-04,1,53.00,6360.00,120.00,120.00,120.00
2011-05-05,2,62.00,7464.00,122.00,120.00,122.00
2011-05-08,9,2365.00,288678.00,124.00,122.00,122.00
2011-05-09,1,20.00,2480.00,124.00,124.00,124.00
2011-05-10,3,1578.00,197720.00,126.00,122.00,126.00
2011-05-12,4,1248.00,153452.00,124.00,122.00,122.00
2011-05-15,6,2332.00,269028.00,120.00,114.00,114.00
2011-05-16,1,600.00,68400.00,114.00,114.00,114.00
2011-05-19,3,774.00,86572.00,112.00,110.00,112.00
2011-05-22,4,170.00,19197.00,115.00,112.00,115.00
2011-05-23,3,50.00,5970.00,121.00,117.00,121.00
2011-05-24,10,417.00,52433.00,133.00,121.00,133.00
2011-05-25,7,200.00,27800.00,145.00,135.00,145.00
2011-05-26,5,148.00,21996.00,151.00,147.00,150.00
2011-05-30,19,796.00,126106.00,159.00,153.00,159.00
2011-05-31,5,90.00,14250.00,162.00,156.00,162.00
2011-06-01,25,696.00,113838.00,174.00,153.00,174.00
2011-06-02,1,10.00,1770.00,177.00,177.00,177.00
2011-06-06,7,302.00,52746.00,180.00,174.00,180.00
2011-06-08,7,210.00,37800.00,180.00,180.00,180.00
2011-07-24,1,88.00,15576.00,177.00,177.00,177.00
2011-08-28,1,30.00,5220.00,174.00,174.00,174.00
2011-09-22,3,60.00,10110.00,171.00,168.00,168.00
2011-10-02,5,78.00,12312.00,165.00,153.00,153.00
2011-10-12,40,1424.00,203508.00,167.00,138.00,167.00
2011-10-13,6,180.00,30060.00,167.00,167.00,167.00
2011-10-20,2,106.00,17490.00,165.00,165.00,165.00
2011-11-27,1,10.00,1730.00,173.00,173.00,173.00
2011-11-28,1,10.00,1810.00,181.00,181.00,181.00
2011-12-01,1,10.00,1900.00,190.00,190.00,190.00
2011-12-06,2,50.00,9260.00,187.00,184.00,184.00
2012-01-25,3,128.00,22814.00,181.00,178.00,178.00
2012-01-26,3,118.00,20149.00,175.00,169.00,169.00
2012-02-15,3,108.00,17634.00,166.00,163.00,163.00
2012-02-27,8,204.00,30708.00,160.00,147.00,147.00
2012-02-28,6,325.00,47125.00,145.00,145.00,145.00
2012-02-29,5,204.00,28268.00,143.00,135.00,135.00
2012-03-06,8,330.00,42576.00,133.00,123.00,123.00
2012-03-11,9,283.00,32599.00,121.00,111.00,111.00
2012-03-12,4,215.00,22385.00,109.00,103.00,103.00
2012-03-13,6,1745.00,176155.00,101.00,99.00,99.00
2012-03-15,1,10.00,980.00,98.00,98.00,98.00
2012-03-20,6,277.00,26392.00,97.00,94.00,94.00
2012-03-28,2,42.00,3918.00,94.00,93.00,94.00
2012-04-11,9,677.00,62278.00,93.00,91.00,92.00
2012-04-12,2,428.00,38617.00,91.00,90.00,90.00
2012-04-15,2,291.00,26481.00,91.00,91.00,91.00
2012-04-17,8,244.00,22976.00,98.00,92.00,98.00
2012-04-18,10,370.00,36050.00,104.00,96.00,104.00
2012-04-19,8,982.00,103853.00,107.00,105.00,105.00
2012-04-26,3,70.00,7550.00,109.00,107.00,107.00
2012-04-30,1,43.00,4515.00,105.00,105.00,105.00
2012-05-02,1,115.00,11845.00,103.00,103.00,103.00
2012-05-16,1,315.00,31815.00,101.00,101.00,101.00
2012-05-17,2,38.00,3914.00,103.00,103.00,103.00
2012-05-22,10,493.00,49167.00,101.00,98.00,101.00
2012-05-24,2,89.00,8841.00,100.00,99.00,100.00
2012-05-27,1,28.00,2744.00,98.00,98.00,98.00
2012-05-29,1,59.00,5723.00,97.00,97.00,97.00
2012-05-30,1,38.00,3686.00,97.00,97.00,97.00
2012-05-31,2,124.00,12040.00,98.00,97.00,97.00
2012-07-01,6,354.00,33984.00,97.00,95.00,95.00
2012-07-02,1,59.00,5546.00,94.00,94.00,94.00
2012-07-05,8,3881.00,365285.00,100.00,93.00,100.00
2012-07-09,1,20.00,2040.00,102.00,102.00,102.00
