Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2011-03-15,7,140.00,46200.00,330.00,330.00,330.00
2011-03-23,1,20.00,6480.00,324.00,324.00,324.00
2011-03-24,3,30.00,9060.00,308.00,296.00,296.00
2011-03-27,39,640.00,172580.00,291.00,267.00,267.00
2011-03-28,174,1850.00,469900.00,254.00,254.00,254.00
2011-03-29,11,130.00,30050.00,242.00,229.00,229.00
2011-04-28,5,200.00,37690.00,191.00,188.00,188.00
2011-05-19,6,90.00,16650.00,185.00,185.00,185.00
2011-05-22,6,70.00,12740.00,182.00,182.00,182.00
2011-05-25,4,40.00,7280.00,182.00,182.00,182.00
2011-06-06,2,20.00,3550.00,179.00,176.00,176.00
2011-06-07,3,30.00,5010.00,170.00,164.00,164.00
2011-06-08,1,10.00,1560.00,156.00,156.00,156.00
2011-07-03,1,10.00,1490.00,149.00,149.00,149.00
2011-09-04,3,300.00,43540.00,147.00,145.00,145.00
2011-09-19,8,80.00,11300.00,143.00,141.00,141.00
2011-09-20,1,10.00,1390.00,139.00,139.00,139.00
2011-09-21,18,230.00,30510.00,137.00,131.00,131.00
2011-09-22,1,10.00,1290.00,129.00,129.00,129.00
2011-10-24,3,50.00,6270.00,127.00,125.00,125.00
2011-11-08,31,478.00,54438.00,123.00,113.00,113.00
2011-11-09,17,464.00,49472.00,111.00,103.00,107.00
2011-11-10,18,466.00,50786.00,110.00,107.00,110.00
2011-11-13,10,100.00,10680.00,108.00,106.00,106.00
2011-11-14,15,160.00,16750.00,106.00,103.00,106.00
2011-11-15,4,90.00,9340.00,105.00,103.00,104.00
2011-11-16,3,30.00,3020.00,102.00,100.00,100.00
2011-11-21,2,90.00,9200.00,104.00,102.00,104.00
2011-11-22,35,470.00,50400.00,110.00,106.00,107.00
2011-11-23,5,210.00,22230.00,107.00,105.00,105.00
2011-11-24,6,470.00,48760.00,105.00,103.00,104.00
2011-11-27,1,10.00,1040.00,104.00,104.00,104.00
2011-11-29,2,20.00,2040.00,102.00,102.00,102.00
2011-11-30,5,50.00,5100.00,102.00,102.00,102.00
2011-12-05,4,40.00,4060.00,102.00,100.00,102.00
2011-12-06,2,40.00,4150.00,104.00,103.00,103.00
2011-12-07,2,80.00,8160.00,102.00,102.00,102.00
2011-12-08,3,30.00,3060.00,102.00,102.00,102.00
2011-12-11,4,40.00,4160.00,104.00,104.00,104.00
2011-12-12,4,40.00,4080.00,102.00,102.00,102.00
2011-12-13,1,10.00,1000.00,100.00,100.00,100.00
2011-12-14,6,60.00,5940.00,99.00,99.00,99.00
2011-12-15,1,10.00,980.00,98.00,98.00,98.00
2011-12-18,33,630.00,60566.00,98.00,96.00,97.00
2011-12-19,66,840.00,80328.00,98.00,92.00,94.00
2011-12-20,12,344.00,31864.00,94.00,92.00,94.00
2011-12-21,9,174.00,16242.00,94.00,92.00,93.00
2011-12-22,39,624.00,61140.00,99.00,94.00,99.00
2011-12-26,17,552.00,54624.00,99.00,98.00,98.00
2011-12-27,57,972.00,94152.00,98.00,93.00,95.00
2011-12-28,81,1056.00,98664.00,96.00,91.00,92.00
2011-12-29,91,1226.00,111956.00,93.00,89.00,92.00
2012-01-01,79,1022.00,93504.00,93.00,90.00,93.00
2012-01-02,49,1052.00,96040.00,93.00,90.00,92.00
2012-01-03,41,772.00,70660.00,93.00,91.00,92.00
